merged_sample_id,1-methylhistamine,2-Arachidonyl glycerol,2'-deoxyadenosine,3-deaazadenosine,3-IPA,3HK,5-Aminolevulinic Acid,Acetylcarnitine,Adenosine,Alanine,Anandamide,Arachidonic acid,Arginine,Asparagine,Aspartate,Betaine,Butyrylcarnitine,cAMP,Carnitine,Choline,Colchicine,Creatine,Cysteamine,Cysteine,Cytosine,DMGV,GlucosePos2,Glutamate,Glutamine,Histidine,Î±-keto-Î²-methylvaleric acid.1,Î±-keto-Î²-methylvaleric acid.2,Isoleucine_Leucine,Kynurenic acid,L-Homoserine,Methionine,Phenylalanine,Phosphocholine,Proline,Riboflavin,Serine,Serotonin,Spermine,Taurine,Thiamine,Threonine,Thymidine,TMNO,trans-HYP,Tyrosine,Uridine,Valine,Valine-d8
bioheart::0,10.458499435991056,11.140602922992535,7.959779953802469,10.705803777406215,11.119754163458198,9.536509379293694,9.05156422407883,16.86803039131431,12.988909534848581,7.4670514899447005,10.713604705703961,10.597377274007336,16.172766081118784,9.713961459607091,9.901822804579579,17.035047622424987,10.525560945745259,12.245675292248787,16.512765654666687,10.738228498189425,9.655964356800675,9.262481436593477,7.924688969538809,6.485739460597945,11.657617478762123,11.099195944661366,15.102562735754738,13.580880061146992,12.6605196094223,16.411285855891048,11.047751889201384,12.287961975070658,15.768870335136569,12.428368633540195,9.841429835185892,13.996771015754899,17.15555771886218,15.862872878713867,17.29439843762281,12.340717628553561,8.560286020098303,9.792608015492727,15.022183126202645,11.900020422822275,8.243996390349675,11.189461324252967,10.24295896838466,11.667310790573639,8.99094965714097,15.5949678969919,14.255284925387027,13.515455199544382,10.221376151314079
bioheart::1,12.576388884566683,11.524445278207345,8.38856967472079,10.56266650663394,11.26597409034185,9.367042180641265,9.17262196222537,17.31330188454556,13.473288867338843,8.332875783493591,10.84209185438094,10.764215918908084,16.350265832215335,10.215278551547536,9.950679552652897,16.874976186083824,12.480684225343843,12.181187821653433,16.89334648586968,11.391732204147768,9.288628803159066,9.136583866251703,8.418079835008207,7.745086346167814,12.116295434522964,11.092288902822494,15.56584369636563,13.60454805942149,12.831614979887979,16.524411032973322,9.627500527122269,12.572468899741132,16.04521942080152,13.322196960129238,10.859972931247185,14.545432359410034,17.409053590610316,15.877986091539093,17.752052760958623,12.594382347709987,9.269949277114064,9.9008269063628,15.214941973423656,12.407106347690158,7.972837994146497,11.999409242654217,10.601219453917048,12.56545994961675,9.234934770056253,15.82544588781315,14.318605976797897,14.29511442736269,10.92913226979638
bioheart::2,11.953379997801948,11.345458549391433,8.425632174033408,10.06891995082318,11.578986491669019,9.190690092972599,9.302864345834537,16.993087433745522,12.959593123384117,8.942004797647638,10.907430363660216,10.791004886926801,16.64590524748766,11.557612849519122,11.049477562493808,17.7500274847389,13.023831839444503,11.017342909230871,17.31983587977667,10.926626613450054,7.522706742424206,7.929159834134076,7.858601677346778,5.888563675731409,12.060848284258752,10.598344671712033,15.63191197638301,13.729590378030577,13.46624099834796,16.642353288862655,10.85580907878489,12.391473926339065,15.793156113698764,12.048796101033938,14.815321596309772,13.157827203933746,16.65635958111402,15.722517356899015,16.786569906679013,11.105955370053547,11.386670928674034,9.704740532995507,14.937382169985206,12.60418777205215,8.622046827720094,14.446268353152947,9.53524398291319,9.42825361461371,8.00463922480392,15.143604669850099,14.050982679749284,14.266220079158712,11.380933862885959
bioheart::3,13.289054103975465,11.720110560063857,8.618264437337187,9.353918091815848,8.923348601143719,8.940023293019694,11.00421080644765,15.653360864933086,12.865800125469026,13.617523447507999,10.354776261230876,10.409610734682511,16.76600365420187,10.764076610887672,9.916924010905976,17.849895473807695,10.299964771652226,11.280621795976346,17.596746655014332,11.787550348783867,7.277276476889576,12.275483531948362,8.427292622473681,7.37502948027823,11.893990336148802,12.160131581587592,16.775826321003837,14.267991108294906,12.86056978450496,16.65424647186972,9.571214627851859,12.856752898315,17.240949791730113,12.23618217362783,12.57692770227317,14.724486549557474,17.587358215720307,15.660847686013911,17.822674089688196,15.01150085670732,11.29016207940287,9.891810742865978,14.723101666274172,11.912304393858342,11.101937563108077,13.214540122029886,9.429727924631102,11.753476080716029,12.186025038254442,15.9075591215564,13.976377772996722,17.14625036786122,11.839535367734452
bioheart::4,14.881184533458933,11.34868990882221,8.28423180860758,8.982985150506579,10.85750885317203,9.044877151750613,7.168609222214615,16.81556383514078,12.831167829320066,10.891939010656412,10.938895829431269,10.424698859283891,16.793172939465713,12.299835824655007,9.603183786706824,19.726384110865073,11.787257817631218,11.03533349787764,17.580524682430323,11.551153894432229,6.510797534144983,6.7173050055289245,9.169373533977225,6.868059440143028,12.465087081863498,11.562529236572956,17.54766533304158,13.556733218204116,13.842675387758462,16.634436752716095,10.812512835028116,12.629538485093876,15.099953329834026,13.382318173479408,12.003185080786366,12.85240083426847,17.11900126810154,15.662694066898933,17.54279018921667,11.916682763792696,11.799363664668247,10.303833686704682,15.455501857481256,9.617110309162255,9.504304352855332,11.973462204855238,9.99438354350614,9.165131278230097,6.508638239230673,15.356093341838651,13.25358333575396,13.627643435108341,12.452096445069866
bioheart::5,14.055221924401966,11.33039388306089,8.596590290230315,9.13125081781473,10.596321239548677,9.256736998135352,10.570941892547015,17.300262809603574,13.060602773721746,8.066791864186861,11.746737847248419,10.533722759016833,16.29941678450232,9.59966784083447,11.625579992405987,17.613799861445404,13.141065128495839,11.033156674282361,17.693759679815855,11.257246050473949,7.867045508447063,5.800248257197599,11.901464207654811,8.320837946183298,11.788500377483576,10.812536049920395,16.411549979163777,14.81733145944366,12.362399795275483,16.570448068748615,10.757931378597807,12.681678004390278,16.338654353199768,12.256424617889317,10.866823383181481,13.000945741754762,17.088202641183965,15.300473891769677,16.155176882133627,12.199156253288221,11.55741719211008,9.89324402058548,14.686627524929687,11.92685921868171,6.973005736986103,12.437608631796275,8.718914524111284,11.217745922572394,5.9158915050483305,15.281622395819468,15.091874621618366,15.541125779817174,12.48314043518693
bioheart::6,14.179456527488064,12.156031823796916,7.970100043876826,11.176489378444776,9.392711712205248,8.670977934515538,10.520296598516936,16.09416805435005,13.071144012777093,11.26849150391252,10.18068554978848,10.903787318303033,16.12334305193321,12.199233570991163,10.919442469627397,18.517342455980472,12.155570574815922,10.814723874046607,17.709927330109316,12.736390074426827,7.602947497977267,3.1006822025159213,9.184093355216062,8.809639302941612,11.580244352854319,11.442172836880067,14.578732395952574,14.52434643384512,13.40349770847654,16.830698408201656,10.65458496838651,12.69138783894879,16.81122014688472,11.427498134656538,13.301847630989004,14.584439392779068,17.058913795420096,15.389345438122952,17.315809745974487,11.379837926223056,11.740917706567444,9.430515735926924,14.927901666551428,8.33771871304522,8.9197365558826,13.628699063025303,8.731409247612662,10.038347924126755,3.6162205076181984,15.833629995521502,14.040412255199444,14.900141543625914,12.621924346392648
bioheart::7,14.020333859971482,11.102202330424273,8.20369145689079,10.75241812518858,10.060966155642936,8.724944352117792,7.604836821376797,17.19196446419151,12.884143765786373,12.022850481735718,9.920770381494231,10.562915004898896,16.167182758539315,10.304335445535264,10.703110557509095,17.1239577529603,10.120639322711941,11.18007210312596,18.40595804963411,10.79208776845228,6.953640277704321,4.865611648912746,7.821636782858355,7.158343521722907,11.902522228655421,10.839147443126055,15.225802379221413,14.605423665872586,13.353276715849207,16.668325055925497,10.335289934477398,12.787877279876728,17.109012854831505,13.070376450327041,11.933779298580037,14.313474478843803,17.61736332275442,15.336316735630621,16.798245653083512,12.899855079838277,10.999957351333856,8.541991901310908,15.196139456313682,11.197348827076842,9.115193837749484,12.903151773348293,9.430497226122128,15.7223040382218,5.1109596998149796,16.108213600010497,13.452904139803978,15.373318375870225,12.452525839689507
bioheart::8,14.416264111365916,11.882164077295283,7.83211155757453,10.202478982297405,12.283267907870593,9.161287813177717,10.081504329175662,17.461520836508917,13.124697446089904,10.616153304316185,9.774366307732421,10.777501607262792,16.640531937227646,14.344332969669209,10.40904652152805,18.530940691366645,9.968817728693821,10.734064240600302,17.815366761835104,11.591533772861906,7.018208808041062,11.494048022798518,9.721434645985711,8.006361503604845,11.871706144115414,9.33784983631336,16.548457101373415,13.711107193851676,14.350994906475758,16.910499137268893,10.303315098172709,12.761091848741632,15.74134840606133,11.042782255747117,13.018229540880094,14.194458680075092,17.34320643930355,15.104851890085534,17.23178695203449,12.44386198042012,12.078288947299816,10.31392939475594,15.469177004368197,13.34979938908624,9.13622996025766,13.344631464270533,8.175410667918428,8.168679509605386,11.166045674203204,15.443903298584024,14.741183650473957,12.777870968936629,12.050280152008078
bioheart::9,13.50409609486458,11.764941583146115,8.353215596258641,10.486510082459036,9.311320834300364,8.84254357212549,9.871696945529692,17.360247932583455,13.23404209176167,11.009815499882448,10.607078313602777,11.048167983158095,16.679080713794853,10.68310675553915,11.63790987359633,18.080188661629684,10.257351097186902,11.102583464217258,17.52860112768866,13.073622639117248,7.629581247996815,5.859303462367034,4.561515641623044,8.430235627495293,11.7123764188754,11.949343506711225,15.938451731667822,14.305148748196448,12.971412802598879,17.067334691432425,9.714790030482746,12.68372303470482,15.633114120897773,12.87420958851793,10.633266917175321,13.249941833746947,17.172096329491485,14.8386173397929,17.152227035490064,11.381526197123328,11.873717942544218,9.598461489539414,15.314315602679876,12.78208866881252,9.809894647858775,12.23839425381091,8.71434342387866,10.085220175702839,5.858865020121527,15.884280434490336,13.775073516475594,13.458279066626563,12.28256425093178
bioheart::10,14.59057971360496,11.608802607098138,8.074806141480611,10.669111309481327,11.288058368017465,8.849681543220047,9.469371286947428,17.429980469407063,13.633322333919978,10.535133407160792,10.654416976152387,10.645887395523728,16.43244676067705,11.176389811840558,10.483812490152308,18.36575639187272,10.987618294728271,12.093947154375087,17.378992236723054,11.998951803022122,9.487948144840061,8.21053579046087,9.011688773611283,8.165631761935655,12.192097694375839,11.326061818313992,16.671442555960283,13.684698896501402,12.643094013205982,16.670257579049995,9.543137080312004,12.536531542786403,16.53266013367014,13.226159398318831,11.947550666692912,14.186802249459516,17.28811291437897,14.305610782636279,17.40385837506724,12.580524857376634,10.032038720714368,9.93356421375588,15.298319033074733,12.47938012599752,8.618429356722666,13.093505125372236,9.06881350163047,13.683237930256357,8.074301015946425,15.834506493248345,14.101420230592995,15.08082971301242,12.14638071171786
bioheart::11,15.619940626554996,11.788289373771905,7.738963881048312,10.481738294087325,11.416291397576622,8.372494051040825,7.607223455659933,17.342105148572813,12.857362345544454,12.994580787411008,10.402966621268616,10.80130242866808,17.474367975077666,11.156696893330256,11.61127804723514,19.04900162280325,10.174674898812796,11.164769918936639,17.017922694537962,13.068493909817915,7.512814193358145,11.62201242817274,8.132882263203646,7.3499606831418784,12.033969715843433,9.40031467403692,16.284890675902513,14.510698525221489,14.042679557737808,16.863688538686507,8.33847181987448,12.816858112809348,16.069528313475814,12.75135573831248,12.132636228106595,13.521129472954524,17.071678459931576,14.644614036398433,17.314721308989988,11.529572366607084,12.408878146249176,10.89416819672734,15.530691587741671,12.803118560885755,8.487743308407765,12.889100620065031,8.848939099788517,13.18933955063053,11.124597043839522,16.346279233723624,14.256276840909191,14.648274015155247,13.033805667413924
bioheart::12,15.065846180483716,11.549248067682534,8.349512379156263,10.021420540328933,10.103046681853721,8.553304782067928,9.674729863555012,18.410682528281267,13.391915241680712,14.656383678230155,10.123767974605833,10.650906185608774,16.407778431504436,10.69845262926165,12.236000660313175,18.035937516474974,13.38794967770729,14.36786192332458,18.47809832701564,14.070704428943788,7.009925608779869,5.701557252178304,7.140857232121144,7.08165061707823,11.927980853460392,10.805648556212242,15.836328213944359,14.35656905362169,12.541745575049804,16.78058500679353,9.0106972573505,12.474191981404516,15.623726411719279,11.465620865015818,14.009768931253744,14.00680760741841,17.16965312883198,14.606084014635476,18.191593815471112,12.97108949411998,14.766058324679522,9.782258002939615,15.08452220913686,10.241053477207691,8.113787144711718,14.255677612163407,8.034735111350981,11.778083324000617,5.273453007951657,16.081800492092018,12.597575823287645,14.318871352202054,13.03451418489656
bioheart::13,15.152727058085508,12.229373471094908,9.333871553747407,11.84730577315606,9.734752532345121,9.616383226968905,10.199326031083078,18.0023410013831,12.85550068820916,12.855026070920884,10.07580247516726,11.340999805623293,16.834423287083872,9.728559840347359,11.105911090412002,18.74268016162471,8.958024063340567,11.23571391650853,17.78303875539425,13.097809438880255,7.391043918021409,3.8723092262686656,6.1610694419728524,8.015937976135431,11.379263777718833,12.129051204771752,17.019389705584178,14.33436766039679,13.550158207193926,16.340318755666296,9.45986180670383,12.569342193508792,15.559822020946674,11.911223986914424,15.305691472988258,12.823158449084579,17.207001914887282,14.591937315393011,17.346603944917803,12.491404077919334,12.389524750590791,9.863738104067874,15.059320565315922,9.721213957853196,8.309925336699886,14.953416174067904,9.347819194381309,16.334792164623785,3.431925064040387,15.463678365394747,14.343504128252315,13.396576646244764,12.835445718111698
bioheart::14,15.42717440173256,12.06522385698836,8.200184732253298,11.048102899645018,10.619823014916967,8.787594601625608,10.95461535873516,17.196181859978804,13.015610523097887,14.246650377831811,10.501561510378837,11.119903351645409,17.050554493090516,12.81567349522903,10.809103331999605,18.025684784316727,12.062826726300823,10.837969035728271,17.6690476116462,12.318876316674064,6.97523634146824,11.0760197080551,6.414254731861847,6.325704694214851,11.678703964391067,10.2154413491316,18.191180555076116,14.49983631774769,12.930521603061255,16.51815966560495,10.461575732185285,12.411701488054767,15.586087730919203,12.338135576915212,12.64434849180896,13.343082774145786,16.959676580464382,14.60449647461561,18.17463791346994,12.08379320290561,12.746160959661538,10.532639199375543,15.204189200400116,12.80693022277913,8.942165236556002,13.147085571008871,9.462616431053421,16.008831273116577,10.382569457734542,16.026633915555493,13.941946120602504,14.546083136417952,12.835656360494603
bioheart::15,15.339590516303986,12.123271020154538,8.655042127798728,10.679952196295348,10.367855823577267,8.659881652926902,10.759075928917333,17.71744310043755,13.05367223824528,14.751602164758722,10.936146279909615,11.275989782523359,16.228989895213022,9.204739669630724,13.055017680832101,19.347819993706523,14.990996500202762,10.537936832841869,17.718791453960286,13.980231740825303,7.696406098213175,11.26836962001469,7.339074195815289,7.3115758381595874,9.81776715328905,11.440052671535375,17.609963100367906,15.566263873468392,12.142621045736965,16.768924832163734,9.752077271233954,12.540170244024777,15.937861417060486,12.736377318882997,14.376102427795262,13.072121140171447,17.064729985301785,14.412303213957228,17.986866828582844,11.408960511953056,12.06200542867213,9.503421793179873,15.411215320585814,16.381458143883904,10.26581674329801,14.404478557130597,8.58340148853941,12.638690180631206,10.776536985441082,16.14292360806457,13.680809283867116,14.487687539826858,12.566785308439133
bioheart::16,15.509671684571165,12.349248711483279,8.100963874911253,11.424356903639229,11.493424771981509,8.624832115423287,10.672619017680137,17.55868649030675,12.886967056247846,15.704190320053003,10.617423213912042,11.134280620773154,17.31178154589529,12.271615266894655,12.843961547964193,18.056624168225795,11.34427449282537,10.807070012346415,18.274357741491404,14.543553279928956,7.34683461463543,5.92709864757193,9.119479808628817,6.888041474847141,11.248544956801194,11.41402044721398,17.298968214887253,15.724458800304845,11.766735227472681,17.34812981575494,9.274738008913896,12.804670082463534,16.688921000294858,12.706216857732546,16.157929936656842,14.566081132970119,17.635594811296574,14.217060470596403,18.540695552226268,12.217525850402266,12.473678381938468,10.644045845468545,15.617112478439756,13.55734568055289,9.772241943391135,15.708301653847025,8.248037281660174,15.955382674529293,5.190048946298303,15.890901484725248,14.24866019910214,15.711308143532696,12.525296448564376
bioheart::17,15.573424016122452,12.291618616459072,8.538200666712706,11.48894744609882,9.97692001121086,10.79552858949014,10.923913568899442,18.249782322133292,12.927424967567532,16.391364553031558,10.191105925987097,11.370626659533732,16.545558829860227,12.49794841225611,13.31458933600042,18.645281794341457,16.72793667070395,14.020546748644819,18.29366243360088,15.103986646629735,7.41668012660954,8.803491972656115,6.349317568386123,7.7396268680071465,9.134289935825286,12.67269836772618,16.854237815692336,15.480123300171403,12.444088378202641,16.96350845412489,8.335086797188268,12.627246535499209,15.972586184947055,12.306110878654449,13.676211227074269,14.453875643964007,17.549886194154155,14.264115620027543,18.793646400242224,12.180596192198301,12.546285818298701,10.36848854130856,16.156693704104,17.33491614293142,8.981457761233415,14.280756102077756,10.011469639897696,12.335157512463281,8.576659693041684,16.136921635889184,13.356799882734443,13.234473187926788,12.621963092249276
bioheart::18,15.328447172434425,11.944954744876247,8.302627910166589,11.648763405178315,11.423150650452447,8.893858944110763,9.196346383759108,17.698222580966686,13.74014954758994,12.146363817686787,11.061667320799483,11.11993885011802,16.61372603024695,11.742413920645257,10.718971170774083,17.385336991614725,12.462480043293855,12.088286880501128,17.98390345372545,12.761676521481878,9.755453081523015,7.975468224771085,9.376905171003838,8.246302767186585,12.439810906375296,11.58644488066187,15.195688684973534,13.874448708800795,12.719943556237514,16.828654286929183,9.987764737860992,12.761904600423161,16.78361178748552,13.193869525905892,12.820358492825818,14.05536995745289,17.46839299328471,13.682651255243142,18.155518447709415,12.66456018075261,10.493934290442935,8.974573734565565,15.622010374369736,12.652071545003905,9.27227095470077,13.630634383928426,9.497084123540668,14.817675446042525,7.515114607562607,16.042840595030434,14.295901516201928,15.87240844683745,11.89953801578839
bioheart::19,15.52720601315323,12.007459280456784,8.097517604901295,10.869592133843824,10.702609926227378,8.608596663899993,9.564045467208388,18.400895354396134,13.457603180922533,16.313843090670723,10.866807564882821,11.210989061542152,17.091216037350513,9.123722730397196,13.614253621524794,16.71342477492946,10.762295498303766,11.703416137341666,18.66623230886977,13.978950622398418,6.840300943665261,11.453560101499388,7.940268627596161,7.9237921907599045,10.138821173963056,10.84340005555944,15.486772434126708,15.661821613089973,11.459345665067424,17.61474440939871,8.169542005522784,12.96745789252618,17.722761794330378,13.193669956838894,15.478733239789847,15.751169416573642,18.425907243903136,13.874196419011996,18.295171340019042,12.698315559068783,12.14117276313555,10.884281354264864,15.619455333429197,16.557560987984893,8.82334340268212,15.093783161391698,7.615934564428085,13.283017896846944,10.724205591335757,16.62380514867002,14.087088485435023,17.46154037986975,12.697704706679087
bioheart::20,15.874830067585691,11.799873080232476,7.950797516530892,11.209658307949002,11.001068464138605,8.502777197779656,11.611681321903099,18.18645850135704,13.189743893859577,12.607541585518696,10.144178022011987,10.907163511348328,16.6380863701235,10.790237559481385,12.971643897115491,17.89693352426747,15.32037394583712,10.922782935572178,17.920854713521013,13.858766280495203,7.419755245783699,10.398120229097536,9.134220092974335,7.769880483932802,10.362083615353127,10.590063220806643,14.076432129310202,14.707841779633771,11.880052740920908,16.96162873927466,9.01163454486078,12.914558046108386,16.478127825631873,12.949120461664497,13.672434882730432,13.655063459877018,17.312776757771,13.666730276740685,18.94911748563707,11.534838627582877,12.157087791151628,10.156939354020452,15.608849161008107,15.601860500042937,9.515548577642422,14.058483976670713,8.153655648716258,17.93022399129416,10.06289107326795,15.94218447955118,12.878705924054001,16.59810151034625,12.728917923617448
bioheart::21,15.123325056597196,12.25662728199174,8.68204577690407,9.446435154628626,10.512946110299755,9.02801871359764,8.909657944899669,17.645066315065925,13.723890840931743,13.082512490832908,10.699083084033765,10.915499439391333,15.732316834052954,8.999382265094827,12.089731490561087,17.536420361278307,8.176921093324257,10.728458138922248,17.536015391046654,14.329130635968552,7.614209160573663,8.489357977640513,5.502045816749574,7.60590921028134,9.797262113077446,11.363970960112042,13.79127045597531,14.888718121721029,12.627757174121308,16.364027380721595,9.692172806259782,12.269059550767157,18.37946317820888,12.030928085793715,10.29310944156117,14.750113931887766,17.71809140086478,13.622062142347133,18.288237356551416,13.013894473077766,11.784816864666013,8.629401661035024,15.417310275102267,15.619053000331112,9.929922537623224,11.885656308310425,8.27965496929977,10.995907072205966,5.899625682543238,15.792777860023122,13.234330882127196,16.867439245599414,12.425458412359399
bioheart::22,15.015070270714274,12.547382104601262,8.166565505291334,10.024314360897025,10.928258432721641,9.908045351707997,8.538561612359079,18.176213974672685,13.642223640176507,14.524446745546992,11.148520832445593,11.18466574750752,15.416624700135408,9.878813582827828,12.258297808425468,18.636446030686898,11.801717967075524,11.019558692342038,18.430770655988265,14.168512462159741,7.081878670753739,8.751652166214438,5.092311960558805,7.7255293351584795,8.57958569940385,12.557360735072566,14.09041087076031,14.817977573631746,11.514058290710517,16.976172900221872,9.290328794118823,12.69094644932058,17.752698256487214,12.959626493288493,12.865342432557748,14.571014994709675,17.88782602689877,13.58874231448729,17.826647359141926,12.87359377724392,11.662924006464676,7.277480012109676,15.364128211686769,14.867055220429927,8.368237762882897,13.405759854390885,7.92161636739456,13.956940156615177,8.299652430038847,16.664144737464945,14.651598503732767,16.99228657776811,12.690119127571656
bioheart::23,15.59039334899434,12.813559379567783,8.473774467714962,12.158505653035167,9.463391298018855,8.23113896737056,10.07487246001646,17.9209689502766,13.786836101571815,16.6284360211916,11.551113761484839,11.763379041018915,15.70304334565984,11.305623588878678,12.376859410737705,17.663857118445833,12.366856271117987,11.493703419883724,17.762771965388115,13.586206219030945,7.438421342020363,6.4227469857579855,5.7010790530553574,7.8435148046350625,9.652943233816947,12.070658874933313,13.844511772920125,15.168506889032146,12.200191689738705,17.27991472906407,8.209801240479877,12.710294946290905,18.20348723929208,13.258711393315501,14.153118588394857,15.117334319608299,17.767115364289406,13.338348313775658,18.750525473279087,12.213261364233439,11.718196648254485,7.4966574739922756,15.168765658420138,13.909647211067277,9.183712171870297,14.609944554522084,9.591087255233587,11.362847524564888,6.089265119366954,16.851507122158033,12.898112522429305,17.88241277195902,12.747459071386537
bioheart::24,15.789310828462227,12.112914600852227,8.687909841378886,11.893579509847186,11.526947817951557,8.69323890648145,9.095410671926158,17.871168434242396,13.337548932466595,12.431806695512979,11.059735586765383,11.182135367998875,16.600771342559558,11.942821660157048,9.866265282167245,16.830836658765286,12.841089061940428,12.048487620663568,18.094049204739353,12.933642945081708,9.0657463238439,7.747536244025751,9.351585281792389,8.472618380818123,12.168966291102535,11.827924911746496,15.656863648058717,13.803266639339336,13.011165905728598,16.87865922503385,7.70784406830124,12.630674755831416,16.979266300896207,13.33718168280402,13.302186575380034,14.199432238546217,17.4612689458854,12.878712324813298,18.443830148413966,12.633549759817646,10.559691447448776,9.433791409327657,15.547338986768446,12.758844771348409,9.069923043695443,14.121563063433141,9.087673969281074,14.894026696338123,7.280468498290629,16.02815726487578,14.277950118193166,15.995353235735301,12.335358791083303
bioheart::25,14.551969466692462,12.316368033673147,8.006334425621263,10.698823779615344,11.349815790346952,8.8999531022282,7.438248374145929,18.20508149746392,13.231774740448746,10.113049516721647,11.193782618710129,11.341466118644032,16.034027257641466,11.298819234924508,11.808422343673543,17.357337348386736,13.553571426357895,11.249870849732702,18.062181721302995,14.635255318264576,6.913649255189708,7.619141797483984,7.936186615477761,8.160150224200027,10.359852090425441,10.30912926764734,15.451648941148319,14.611340031924458,12.976319607419493,16.98194987448605,10.563252594693422,12.149411479236328,18.434453936494116,12.45563263521116,13.566617977529122,13.919719369218337,17.815254746955404,13.053680271744543,18.92922386990787,13.605542107436666,12.16829382134699,6.834227515898651,15.39544057108247,14.327893423662065,9.190925750761501,13.958958364190137,8.297634820105474,14.414334168785429,7.252579851541049,16.353679033963452,13.576255264227216,18.094532201626734,12.946943029254562
bioheart::26,15.633011695801423,11.857987337427472,8.26413617975592,11.114539431869595,10.169401052025785,8.668393812900337,10.03565550004119,17.69224823498845,13.322333243696452,13.045777642534963,10.341482983042992,11.170226618186337,16.853105781883798,10.15450879538532,11.770208880123894,17.257568370625037,13.206099447923352,10.844736065179982,18.340759467124034,13.587666066715485,7.380610839178906,9.736761896950702,9.634907628818402,7.27403126624458,11.036331756658782,12.435032566805752,14.23302221135844,14.69438148562004,12.658891466316511,16.82620992009903,8.670863050406304,12.434639878248984,17.475929885168654,13.090402831482038,11.486584240183333,12.993340407427485,17.176917846744168,13.74135460282765,18.15898280780118,12.645571924197455,12.42357119903145,10.02795120635908,15.580958809457073,15.005808338249386,8.99297158433768,12.69677824105946,8.906265238059696,10.07900326079942,9.482090687210134,15.853434362624268,14.530229321990843,16.925221248269306,13.309234322956788
bioheart::27,15.068308737934906,10.789554784212656,9.006798430846588,10.188309301462965,10.351858594589142,9.259305403257043,10.514613788835042,16.064974561044497,12.429718521383446,12.229926518593622,10.573582484502793,10.539804661809749,16.832823685935562,11.234878199671135,10.879565074592762,15.800995183010393,10.856585555616729,10.949772748334885,17.414735806779078,12.520822082580878,6.977327017409607,10.209684990449228,8.824069891081907,6.927765767895761,11.237846176930956,10.419181695909254,14.777023207944582,15.338626909603086,11.98577049689392,16.114222612393533,9.109858695097621,11.8423681562349,15.451517445840983,12.0718786189418,12.357119007965046,12.731156850543407,16.439266036571357,13.424222040378924,18.36065348475375,12.052452997002977,11.900749109871187,10.291593520342591,15.413132206629498,13.002876641452588,9.113054028228717,13.18503743131616,8.44048838689685,17.195893588349826,9.480749586690171,15.73546922416337,13.7910210221963,14.001203060605082,12.498062406370966
bioheart::28,15.848620107073314,11.855452255449228,9.083620770842119,10.885922171646683,10.413261498999617,9.335547442773867,7.377175152821226,17.51257526032967,12.448560134343964,14.203415894281163,10.852779849423316,11.280245814569737,17.067653752678957,12.260293674409533,11.033935872680551,18.041772394693584,14.511879346368445,10.69340915281734,16.974831551780994,13.2062729717958,7.059502663094648,10.658515282805297,5.864769813510595,8.214816801223847,12.263254263390047,11.846228917379689,13.894506850491654,15.287601193731222,13.023040947386093,16.78326096186259,8.985912459514564,12.822370783776845,18.055557613751102,13.456931120386086,15.553926741133619,14.062343660611484,17.08570814338676,13.189838605141905,18.650302958800527,10.402194458430403,11.759131927976732,9.618901581873304,16.007300570275,13.001306316547675,8.484226314427517,15.26114132452848,9.196240749532002,15.243707138578618,10.451502435027388,15.350059059498646,14.26757875864222,16.56794843725347,12.614824456617072
