sample_col_name,INDEX,FILE_NAME,FILE_CODE,SAMPLE_NAME,LABEL,SEQUENCE,sample_type,batch_id,group_label
001 / burnin,1,20200304_ecoli_4GHz_0001.d,20200320154656387-2492984,burnin1,burnin,P001:001 seq1 control,burnin,Batch6_0304 DATA,burnin
002 / burnin,2,20200304_ecoli_4GHz_0002.d,20200320154657512-2492985,burnin2,burnin,P001:002 seq1 control,burnin,Batch6_0304 DATA,burnin
003 / burnin,3,20200304_ecoli_4GHz_0003.d,20200320154658526-2492986,burnin3,burnin,P001:003 seq1 control,burnin,Batch6_0304 DATA,burnin
004 / burnin,4,20200304_ecoli_4GHz_0004.d,20200320154659574-2492987,burnin4,burnin,P001:004 seq1 control,burnin,Batch6_0304 DATA,burnin
005 / burnin,5,20200304_ecoli_4GHz_0005.d,20200320154700577-2492988,burnin5,burnin,P001:005 seq1 control,burnin,Batch6_0304 DATA,burnin
006 / water,6,20200304_ecoli_4GHz_0006.d,20200320154701667-2492989,ctrl_p01_c1,water,P001:006 seq1 control,water,Batch6_0304 DATA,water
007 / water,7,20200304_ecoli_4GHz_0007.d,20200320154702718-2492990,ctrl_p01_c2,water,P001:007 seq1 control,water,Batch6_0304 DATA,water
008 / water,8,20200304_ecoli_4GHz_0008.d,20200320154703716-2492991,ctrl_p01_c1,water,P001:016 seq1 control,water,Batch6_0304 DATA,water
009 / water,9,20200304_ecoli_4GHz_0009.d,20200320154704777-2492992,ctrl_p01_c2,water,P001:017 seq1 control,water,Batch6_0304 DATA,water
010 / P1_Full_0256,10,20200304_ecoli_4GHz_0010.d,20200320154705858-2492993,20200304_Plate1_024,P1_Full_0256,P001:018 seq1,formal_or_unknown,Batch6_0304 DATA,P1_Full_0256
011 / P1_Full_0256,11,20200304_ecoli_4GHz_0011.d,20200320154706985-2492994,20200304_Plate1_024,P1_Full_0256,P001:019 seq1,formal_or_unknown,Batch6_0304 DATA,P1_Full_0256
012 / P1_Full_0256,12,20200304_ecoli_4GHz_0012.d,20200320154708040-2492995,20200304_Plate1_024,P1_Full_0256,P001:020 seq1,formal_or_unknown,Batch6_0304 DATA,P1_Full_0256
013 / water,13,20200304_ecoli_4GHz_0013.d,20200320154709126-2492996,ctrl_p01_c1,water,P001:021 seq1 control,water,Batch6_0304 DATA,water
014 / water,14,20200304_ecoli_4GHz_0014.d,20200320154710138-2492997,ctrl_p01_c2,water,P001:022 seq1 control,water,Batch6_0304 DATA,water
015 / P1_FA_0008,15,20200304_ecoli_4GHz_0015.d,20200320154711189-2492998,20200304_Plate1_060,P1_FA_0008,P001:023 seq1,formal_or_unknown,Batch6_0304 DATA,P1_FA_0008
016 / P1_FA_0008,16,20200304_ecoli_4GHz_0016.d,20200320154712278-2492999,20200304_Plate1_060,P1_FA_0008,P001:024 seq1,formal_or_unknown,Batch6_0304 DATA,P1_FA_0008
017 / P1_FA_0008,17,20200304_ecoli_4GHz_0017.d,20200320154713336-2493000,20200304_Plate1_060,P1_FA_0008,P001:025 seq1,formal_or_unknown,Batch6_0304 DATA,P1_FA_0008
018 / water,18,20200304_ecoli_4GHz_0018.d,20200320154714423-2493001,ctrl_p01_c1,water,P001:026 seq1 control,water,Batch6_0304 DATA,water
019 / water,19,20200304_ecoli_4GHz_0019.d,20200320154715465-2493002,ctrl_p01_c2,water,P001:027 seq1 control,water,Batch6_0304 DATA,water
020 / P1_FA_1024,20,20200304_ecoli_4GHz_0020.d,20200320154716482-2493003,20200304_Plate1_068,P1_FA_1024,P001:028 seq1,formal_or_unknown,Batch6_0304 DATA,P1_FA_1024
021 / P1_FA_1024,21,20200304_ecoli_4GHz_0021.d,20200320154717498-2493004,20200304_Plate1_068,P1_FA_1024,P001:029 seq1,formal_or_unknown,Batch6_0304 DATA,P1_FA_1024
022 / P1_FA_1024,22,20200304_ecoli_4GHz_0022.d,20200320154718548-2493005,20200304_Plate1_068,P1_FA_1024,P001:030 seq1,formal_or_unknown,Batch6_0304 DATA,P1_FA_1024
023 / water,23,20200304_ecoli_4GHz_0023.d,20200320154719567-2493006,ctrl_p01_c1,water,P001:031 seq1 control,water,Batch6_0304 DATA,water
024 / water,24,20200304_ecoli_4GHz_0024.d,20200320154720580-2493007,ctrl_p01_c2,water,P001:032 seq1 control,water,Batch6_0304 DATA,water
025 / P1_SRM_0008,25,20200304_ecoli_4GHz_0025.d,20200320154721664-2493008,20200304_Plate1_004,P1_SRM_0008,P001:033 seq1,srm,Batch6_0304 DATA,P1_SRM_0008
026 / P1_SRM_0008,26,20200304_ecoli_4GHz_0026.d,20200320154722892-2493009,20200304_Plate1_004,P1_SRM_0008,P001:034 seq1,srm,Batch6_0304 DATA,P1_SRM_0008
027 / P1_SRM_0008,27,20200304_ecoli_4GHz_0027.d,20200320154724082-2493010,20200304_Plate1_004,P1_SRM_0008,P001:035 seq1,srm,Batch6_0304 DATA,P1_SRM_0008
028 / water,28,20200304_ecoli_4GHz_0028.d,20200320154725266-2493011,ctrl_p01_c1,water,P001:036 seq1 control,water,Batch6_0304 DATA,water
029 / water,29,20200304_ecoli_4GHz_0029.d,20200320154726450-2493012,ctrl_p01_c2,water,P001:037 seq1 control,water,Batch6_0304 DATA,water
030 / P1_SRM_0032,30,20200304_ecoli_4GHz_0030.d,20200320154727433-2493013,20200304_Plate1_006,P1_SRM_0032,P001:038 seq1,srm,Batch6_0304 DATA,P1_SRM_0032
031 / P1_SRM_0032,31,20200304_ecoli_4GHz_0031.d,20200320154728347-2493014,20200304_Plate1_006,P1_SRM_0032,P001:039 seq1,srm,Batch6_0304 DATA,P1_SRM_0032
032 / P1_SRM_0032,32,20200304_ecoli_4GHz_0032.d,20200320154729396-2493015,20200304_Plate1_006,P1_SRM_0032,P001:040 seq1,srm,Batch6_0304 DATA,P1_SRM_0032
033 / water,33,20200304_ecoli_4GHz_0033.d,20200320154730556-2493016,ctrl_p01_c1,water,P001:041 seq1 control,water,Batch6_0304 DATA,water
034 / water,34,20200304_ecoli_4GHz_0034.d,20200320154731544-2493017,ctrl_p01_c2,water,P001:042 seq1 control,water,Batch6_0304 DATA,water
035 / P1_PP_0256,35,20200304_ecoli_4GHz_0035.d,20200320154732548-2493018,20200304_Plate1_080,P1_PP_0256,P001:043 seq1,formal_or_unknown,Batch6_0304 DATA,P1_PP_0256
036 / P1_PP_0256,36,20200304_ecoli_4GHz_0036.d,20200320154733533-2493019,20200304_Plate1_080,P1_PP_0256,P001:044 seq1,formal_or_unknown,Batch6_0304 DATA,P1_PP_0256
037 / P1_PP_0256,37,20200304_ecoli_4GHz_0037.d,20200320154734557-2493020,20200304_Plate1_080,P1_PP_0256,P001:045 seq1,formal_or_unknown,Batch6_0304 DATA,P1_PP_0256
038 / water,38,20200304_ecoli_4GHz_0038.d,20200320154735577-2493021,ctrl_p01_c1,water,P001:046 seq1 control,water,Batch6_0304 DATA,water
039 / water,39,20200304_ecoli_4GHz_0039.d,20200320154736514-2493022,ctrl_p01_c2,water,P001:047 seq1 control,water,Batch6_0304 DATA,water
040 / P1_AA_1024,40,20200304_ecoli_4GHz_0040.d,20200320154737493-2493023,20200304_Plate1_054,P1_AA_1024,P001:048 seq1,formal_or_unknown,Batch6_0304 DATA,P1_AA_1024
041 / P1_AA_1024,41,20200304_ecoli_4GHz_0041.d,20200320154738568-2493024,20200304_Plate1_054,P1_AA_1024,P001:049 seq1,formal_or_unknown,Batch6_0304 DATA,P1_AA_1024
042 / P1_AA_1024,42,20200304_ecoli_4GHz_0042.d,20200320154739571-2493025,20200304_Plate1_054,P1_AA_1024,P001:050 seq1,formal_or_unknown,Batch6_0304 DATA,P1_AA_1024
043 / water,43,20200304_ecoli_4GHz_0043.d,20200320154740593-2493026,ctrl_p01_c1,water,P001:051 seq1 control,water,Batch6_0304 DATA,water
044 / water,44,20200304_ecoli_4GHz_0044.d,20200320154741611-2493027,ctrl_p01_c2,water,P001:052 seq1 control,water,Batch6_0304 DATA,water
045 / P1_FA_0256,45,20200304_ecoli_4GHz_0045.d,20200320154742626-2493028,20200304_Plate1_066,P1_FA_0256,P001:053 seq1,formal_or_unknown,Batch6_0304 DATA,P1_FA_0256
046 / P1_FA_0256,46,20200304_ecoli_4GHz_0046.d,20200320154743684-2493029,20200304_Plate1_066,P1_FA_0256,P001:054 seq1,formal_or_unknown,Batch6_0304 DATA,P1_FA_0256
047 / P1_FA_0256,47,20200304_ecoli_4GHz_0047.d,20200320154744729-2493030,20200304_Plate1_066,P1_FA_0256,P001:055 seq1,formal_or_unknown,Batch6_0304 DATA,P1_FA_0256
048 / water,48,20200304_ecoli_4GHz_0048.d,20200320154745744-2493031,ctrl_p01_c1,water,P001:056 seq1 control,water,Batch6_0304 DATA,water
049 / water,49,20200304_ecoli_4GHz_0049.d,20200320154746728-2493032,ctrl_p01_c2,water,P001:057 seq1 control,water,Batch6_0304 DATA,water
050 / P1_Bio_0016,50,20200304_ecoli_4GHz_0050.d,20200320154747748-2493033,20200304_Plate1_033,P1_Bio_0016,P001:058 seq1,formal_or_unknown,Batch6_0304 DATA,P1_Bio_0016
051 / P1_Bio_0016,51,20200304_ecoli_4GHz_0051.d,20200320154748945-2493034,20200304_Plate1_033,P1_Bio_0016,P001:059 seq1,formal_or_unknown,Batch6_0304 DATA,P1_Bio_0016
052 / P1_Bio_0016,52,20200304_ecoli_4GHz_0052.d,20200320154750221-2493035,20200304_Plate1_033,P1_Bio_0016,P001:060 seq1,formal_or_unknown,Batch6_0304 DATA,P1_Bio_0016
053 / water,53,20200304_ecoli_4GHz_0053.d,20200320154751466-2493036,ctrl_p01_c1,water,P001:061 seq1 control,water,Batch6_0304 DATA,water
054 / water,54,20200304_ecoli_4GHz_0054.d,20200320154752530-2493037,ctrl_p01_c2,water,P001:062 seq1 control,water,Batch6_0304 DATA,water
055 / P1_Full_0512,55,20200304_ecoli_4GHz_0055.d,20200320154753573-2493038,20200304_Plate1_025,P1_Full_0512,P001:063 seq1,formal_or_unknown,Batch6_0304 DATA,P1_Full_0512
056 / P1_Full_0512,56,20200304_ecoli_4GHz_0056.d,20200320154754636-2493039,20200304_Plate1_025,P1_Full_0512,P001:064 seq1,formal_or_unknown,Batch6_0304 DATA,P1_Full_0512
057 / P1_Full_0512,57,20200304_ecoli_4GHz_0057.d,20200320154755670-2493040,20200304_Plate1_025,P1_Full_0512,P001:065 seq1,formal_or_unknown,Batch6_0304 DATA,P1_Full_0512
058 / water,58,20200304_ecoli_4GHz_0058.d,20200320154756690-2493041,ctrl_p01_c1,water,P001:066 seq1 control,water,Batch6_0304 DATA,water
059 / water,59,20200304_ecoli_4GHz_0059.d,20200320154757744-2493042,ctrl_p01_c2,water,P001:067 seq1 control,water,Batch6_0304 DATA,water
060 / P1_Bio_0512,60,20200304_ecoli_4GHz_0060.d,20200320154758783-2493043,20200304_Plate1_039,P1_Bio_0512,P001:068 seq1,formal_or_unknown,Batch6_0304 DATA,P1_Bio_0512
061 / P1_Bio_0512,61,20200304_ecoli_4GHz_0061.d,20200320154759937-2493044,20200304_Plate1_039,P1_Bio_0512,P001:069 seq1,formal_or_unknown,Batch6_0304 DATA,P1_Bio_0512
062 / P1_Bio_0512,62,20200304_ecoli_4GHz_0062.d,20200320154801067-2493045,20200304_Plate1_039,P1_Bio_0512,P001:070 seq1,formal_or_unknown,Batch6_0304 DATA,P1_Bio_0512
