ionIdx,ionMz,ionAverageInt,Top annotation formula,Top annotation ion
1,57.03398038923936,10631.680802815425,C3H6O,-H(-)
2,59.0132462184443,72357.4220213001,C2H4O2,-H(-)
3,66.03461575806804,645.4803646645279,C4H5N,-H(-)
4,67.02980004308986,2970.798010645755,C3H4N2,-H(-)
5,68.05026860214247,776.5744023477929,C4H7N,-H(-)
6,69.0343471952857,3006.4916877433975,C4H6O,-H(-)
7,70.02952481668606,38840.5535694588,C3H5NO,-H(-)
8,71.01366211051499,15840.718225143979,C3H4O2,-H(-)
9,72.04528865047607,1483.0862003398386,C3H7NO,-H(-)
10,72.99288523384165,1196.6231664299548,C2H2O3,-H(-)
11,73.02931250427876,8349.409077455583,C3H6O2,-H(-)
12,74.0245435777183,26245.985238012225,C2H5NO2,-H(-)
13,75.00856833377489,2101.8213549674338,C2H4O3,-H(-)
14,75.02793931644756,676.1790471175578,C3H8S,-H(-)
15,77.00622198918461,509.2209417247134,C2H6OS,-H(-)
16,77.03947738138756,1606.7675029879701,C6H6,-H(-)
17,79.95731536218747,12093.991628771182,HO3S,-H(-)
18,81.04566290354529,675.7946689346251,C4H6N2,-H(-)
19,83.05015872520839,3047.0060597261836,C5H8O,-H(-)
20,84.04554791499513,1942.6613364466502,C4H7NO,-H(-)
21,85.02948682783996,12812.255749377593,C4H6O2,-H(-)
22,86.02469683860768,3859.5507773729214,C3H5NO2,-H(-)
23,87.04508477864623,6510.513051862361,C4H8O2,-H(-)
24,87.05626500680337,1780.5362841306567,C3H8N2O,-H(-)
25,88.0404153841694,91973.19663264166,C3H7NO2,-H(-)
26,89.02437041612944,454057.0031825726,C3H6O3,-H(-)
27,90.019073577568,7972.364739551453,C2H5NO3,-H(-)
28,91.02200074314872,2223.717569760195,C3H8OS,-H(-)
29,92.05067319097203,3335.0149357945947,C6H7N,-H(-)
30,93.04574115730149,87178.32908450041,C5H6N2,-H(-)
31,94.0298559720575,13795.885473439668,C5H5NO,-H(-)
32,94.98071092015127,95988.8526473028,H4O4Si,-H(-)
33,95.01357111754285,9344.974954724772,C5H4O2,-H(-)
34,95.05025962554204,6389.2367312980905,C6H8O,-H(-)
35,96.04542972902793,7013.312618175951,C5H7NO,-H(-)
36,96.96915405157577,637027.0683246888,H3O4P,-H(-)
37,98.02494705361721,7461.9033426694405,C4H5NO2,-H(-)
38,98.06130895065738,4471.671717608108,C5H9NO,-H(-)
39,99.00851603136003,29518.184021358524,C4H4O3,-H(-)
40,99.04518811549117,24819.36459474414,C5H8O2,-H(-)
41,99.08140769343424,3042.1536718464995,C6H12O,-H(-)
42,100.02260843059703,3234.520131091426,C4H7NS,-H(-)
43,100.04064765635854,7828.18250339136,C4H7NO2,-H(-)
44,101.02461065902614,37217.9741272476,C4H6O3,-H(-)
45,101.04314168183029,6630.156730917725,C5H10S,-H(-)
46,101.06092412685518,16308.002594020125,C5H10O2,-H(-)
47,102.05610033964642,97473.40075172874,C4H9NO2,-H(-)
48,103.02232135164485,4872.115028149178,C4H8OS,-H(-)
49,103.03997954858883,45736.63882620642,C4H8O3,-H(-)
50,104.03556787016895,75752.00082243662,C3H7NO3,-H(-)
51,105.0017403819259,939.0993210709356,C3H6O2S,-H(-)
52,105.01940495441538,9863.292221068363,C3H6O4,-H(-)
53,105.03775575891028,11643.297213216816,C4H10OS,-H(-)
54,105.07110456276222,1279.4217119734597,C8H10,-H(-)
55,107.012636319571,1200.6160299486426,C6H4O2,-H(-)
56,107.05012137701907,88109.41564364196,C7H8O,-H(-)
57,108.04566339536254,11459.8163478983,C6H7NO,-H(-)
58,109.01072498541052,3456.991779001611,C6H6S,-H(-)
59,109.02948722053583,27954.706201934227,C6H6O2,-H(-)
60,109.04094446295376,15463.445329957658,C5H6N2O,-H(-)
61,109.06583529911666,7057.875361788987,C7H10O,-H(-)
62,110.03615634801639,128925.44625019429,C4H5N3O,-H(-)
63,110.0725423882665,26475.34827525029,C5H9N3,-H(-)
64,111.0087843605781,17669.319243706752,C5H4O3,-H(-)
65,111.0202474457877,119635.42310845897,C4H4N2O2,-H(-)
66,111.08221125072188,6098.028643066537,C7H12O,-H(-)
67,112.02358748632368,7452.885149819645,C5H7NS,-H(-)
68,112.05156017829104,64113.40354593759,C4H7N3O,-H(-)
69,113.02425634568729,45713.586235131435,C5H6O3,-H(-)
70,113.03577322290234,65932.28513265373,C4H6N2O2,-H(-)
71,113.07067313872778,3398.221798158984,C5H10N2O,-H(-)
72,113.09812950578755,1497.678973664419,C7H14O,-H(-)
73,114.05611949479997,567365.0627697142,C5H9NO2,-H(-)
74,114.9689972327984,1061.4302089363234,C4H4S2,-H(-)
75,115.00379147793112,19712.62208375531,C4H4O4,-H(-)
76,115.05952072619853,42683.38019512472,C6H12S,-H(-)
77,116.05090403119223,267071.02539265755,C8H7N,-H(-)
78,116.07176566846444,1391616.5897294204,C5H11NO2,-H(-)
79,117.01955990295136,36428.58642096728,C4H6O4,-H(-)
80,117.0751325121419,76547.56205484059,C6H14S,-H(-)
81,118.05108981469918,128150.63913085971,C4H9NO3,-H(-)
82,118.979900279222,7315.897791983538,C3H4O3S,-H(-)
83,119.00095045560975,4504.9877545635045,C4H8S2,-H(-)
84,119.01730117112767,20648.48604016818,C4H8O2S,-H(-)
85,119.03478721781465,32203.938134541422,C4H8O4,-H(-)
86,119.05086601027052,68072.11378332473,C8H8O,-H(-)
87,120.01260052638703,26911.733870067466,C3H7NO2S,-H(-)
88,120.9960935109307,3202.343451752139,C3H6O3S,-H(-)
89,121.01573392431405,4886.565432496503,C4H10S2,-H(-)
90,121.03245539761548,61296.46905256957,C4H10O2S,-H(-)
91,121.04066182965073,32896.826179568685,C6H6N2O,-H(-)
92,122.0249549880119,5917.223848912409,C6H5NO2,-H(-)
93,124.00763304435777,27278.90827583959,C2H7NO3S,-H(-)
94,124.01716669730723,8617.774736786285,C2H8NO3P,-H(-)
95,124.07740840278578,1519.3316982285457,C7H11NO,-H(-)
96,124.99118454205102,17768.220647053826,C2H6O4S,-H(-)
97,125.00276852798976,5402.668876911658,C2H7O4P,-H(-)
98,125.03567613583836,279478.2576480099,C5H6N2O2,-H(-)
99,125.09716552341465,7067.384154049157,C8H14O,-H(-)
100,126.0295764609763,4428.968267417662,C4H5N3O2,-H(-)
101,126.03908848256049,16053.128191425167,C6H9NS,-H(-)
102,126.09250308237932,1087.539839229414,C7H13NO,-H(-)
103,126.90519385010312,6495.684100328499,HI,-H(-)
104,127.04052032795045,23646.73667854207,C6H8O3,-H(-)
105,127.05137101436021,78539.44143489258,C5H8N2O2,-H(-)
106,128.01044300781678,6036.997538900211,C3H3N3O3,-H(-)
107,128.0354981412458,234950.0648109007,C5H7NO3,-H(-)
108,128.98315653252217,1789.7967535156756,C5H6S2,-H(-)
109,129.01887477965738,16132.615078483755,C5H6O4,-H(-)
110,129.03881019587328,19281.887711803553,C6H10OS,-H(-)
111,129.05567868696573,91550.54313489796,C6H10O3,-H(-)
112,129.0920694340313,12783.549938865823,C7H14O2,-H(-)
113,130.01483254254356,5712.754202030387,C4H5NO4,-H(-)
114,130.06719131865313,88222.31713822509,C9H9N,-H(-)
115,130.08751846143545,2139855.107093776,C6H13NO2,-H(-)
116,131.0012939864515,3109.803887622239,C5H8S2,-H(-)
117,131.01275293785056,10565.235589715438,C8H4O2,-H(-)
118,131.04628424627796,216577.27551018383,C4H8N2O3,-H(-)
119,131.08324627013724,191618.65741626342,C5H12N2O2,-H(-)
120,131.0901711178995,199998.23591337935,C7H16S,-H(-)
121,132.03044671098425,453292.7608687679,C4H7NO4,-H(-)
