ionIdx,ionMz,ionAverageInt,mz delta,formula,ion,HMDB ids,KEGG ids,other ids
1,57.03398038923936,10631.680802815425,0.0006077107606401455,C3H6O,-H(-),HMDB0001659; HMDB0003366; HMDB0031652; HMDB01659; HMDB03366; HMDB31652,C00207; C00479; C02001,CHEBI:15347; CHEBI:16605; CHEBI:17153
2,59.0132462184443,72357.4220213001,0.000606481555699645,C2H4O2,-H(-),HMDB0000042; HMDB0003344; HMDB00042; HMDB02165; HMDB03344,C00033; C00266,CHEBI:15366; CHEBI:17071
3,66.03461575806804,645.4803646645279,0.00030674193195068256,C4H5N,-H(-),HMDB0031323; HMDB0035924; HMDB31323; HMDB35924,C19907,; CHEBI:19203
4,67.02980004308986,2970.798010645755,0.00037145691013051874,C3H4N2,-H(-),HMDB0001525; HMDB01525,C01589,CHEBI:16069
5,68.05026860214247,776.5744023477929,0.00030389785753470733,C4H7N,-H(-),HMDB0060246; HMDB60246,,
6,69.0343471952857,3006.4916877433975,0.00024090471428905857,C4H6O,-H(-),HMDB0034233; HMDB0061873; HMDB0061874; HMDB34233; HMDB61873; HMDB61874,,; CHEBI:48058
7,70.02952481668606,38840.5535694588,0.0003122833139315162,C3H5NO,-H(-),HMDB0004296; HMDB04296,C01659,CHEBI:28619
8,71.01366211051499,15840.718225143979,0.00019058948501537998,C3H4O2,-H(-),HMDB0001167; HMDB0006112; HMDB0031647; HMDB01167; HMDB06112; HMDB31647,C00511; C00546; C19440,CHEBI:17158; CHEBI:18308; CHEBI:566274
9,72.04528865047607,1483.0862003398386,0.0001984495239213402,C3H7NO,-H(-),HMDB0001106; HMDB0001888; HMDB0002134; HMDB01106; HMDB0142435; HMDB01888; HMDB02134; HMDB60177,C01888; C03134; C05665,; CHEBI:17741; CHEBI:17906; CHEBI:18090
10,72.99288523384165,1196.6231664299548,0.00023206615834681088,C2H2O3,-H(-),HMDB0000119; HMDB00119,C00048,CHEBI:16891
10,72.99288523384165,1196.6231664299548,0.00017201713491488135,C2H3NS,-H(-) [+1],HMDB0034106; HMDB34106,C18587,CHEBI:78337
11,73.02931250427876,8349.409077455583,0.00019019572123113448,C3H6O2,-H(-),HMDB0000237; HMDB0003052; HMDB0003453; HMDB0006458; HMDB00237; HMDB0031523; HMDB03052; HMDB03453; HMDB06458; HMDB06949; HMDB31523,C00163; C00424; C00937; C00969; C17530,; CHEBI:17167; CHEBI:17871; CHEBI:18041; CHEBI:30768
12,74.0245435777183,26245.985238012225,0.00020812228169120317,C2H5NO2,-H(-),HMDB0000123; HMDB00123; HMDB0014691; HMDB0031239; HMDB14691; HMDB31239,C00037; C06808,; CHEBI:15428; CHEBI:27777
13,75.00856833377489,2101.8213549674338,0.000198966225113395,C2H4O3,-H(-),HMDB0000115; HMDB00115; HMDB0031608; HMDB03035; HMDB31608,C00160,; CHEBI:17497
13,75.00856833377489,2101.8213549674338,-0.0007787219584827199,C3H6S,-H(-) [+2],HMDB0031635; HMDB31635,,
14,75.02793931644756,676.1790471175578,-0.0005451164475545056,C3H8S,-H(-),HMDB0031238; HMDB0031634; HMDB0034238; HMDB31238; HMDB31634; HMDB34238,C08390; C08391,; CHEBI:8473; CHEBI:8474
14,75.02793931644756,676.1790471175578,-0.0006718603928703715,C2H5NO2,-H(-) [+1],HMDB0000123; HMDB00123; HMDB0014691; HMDB0031239; HMDB14691; HMDB31239,C00037; C06808,; CHEBI:15428; CHEBI:27777
15,77.00622198918461,509.2209417247134,0.00043681081538693434,C2H6OS,-H(-),HMDB0002151; HMDB02151,C11143,CHEBI:28262
16,77.03947738138756,1606.7675029879701,0.00019611861243618023,C6H6,-H(-),HMDB0001505; HMDB01505,C01407,CHEBI:16716
17,79.95731536218747,12093.991628771182,4.763781251426735e-05,HO3S,-H(-),HMDB0001033; HMDB01033; HMDB03008,C11481,CHEBI:17137
18,81.04566290354529,675.7946689346251,0.0001585964547103913,C4H6N2,-H(-),HMDB0015344; HMDB15344,C07837,CHEBI:5141
19,83.05015872520839,3047.0060597261836,7.937479161057581e-05,C5H8O,-H(-),HMDB0001184; HMDB0012157; HMDB0031407; HMDB0031512; HMDB0031530; HMDB0031601; HMDB0031606; HMDB0031607; HMDB0032458; HMDB0037788; HMDB0040584; HMDB01184; HMDB12157; HMDB31407; HMDB31512; HMDB31530; HMDB31601; HMDB31606; HMDB31607; HMDB32458; HMDB37788; HMDB40584,C00557; C07330,; CHEBI:15825; CHEBI:16486; CHEBI:51678; CHEBI:51679; CHEBI:87508; CHEBI:88419
20,84.04554791499513,1942.6613364466502,-6.081499512333721e-05,C4H7NO,-H(-),HMDB0002039; HMDB0060427; HMDB02039; HMDB60427,C11118,; CHEBI:15348; CHEBI:36592
21,85.02948682783996,12812.255749377593,1.5872160034291483e-05,C4H6O2,-H(-),HMDB0000549; HMDB0002523; HMDB0003407; HMDB0010720; HMDB0031209; HMDB0033977; HMDB0034439; HMDB00549; HMDB02523; HMDB03407; HMDB10720; HMDB31209; HMDB33977; HMDB34439,C00741; C01770; C01771; C19309; C19443,; CHEBI:16583; CHEBI:36253; CHEBI:41131; CHEBI:42639; CHEBI:46916
22,86.02469683860768,3859.5507773729214,5.486139231436482e-05,C3H5NO2,-H(-),HMDB0003609; HMDB0039426; HMDB03609; HMDB06356; HMDB39426,C02218,; CHEBI:17123
23,87.04508477864623,6510.513051862361,6.792135377509112e-05,C4H8O2,-H(-),HMDB0000039; HMDB0001873; HMDB0003243; HMDB00039; HMDB0030062; HMDB0031217; HMDB0031507; HMDB0040253; HMDB0040579; HMDB01873; HMDB03151; HMDB03243; HMDB30062; HMDB31217; HMDB31507; HMDB40253; HMDB40579,C00246; C00466; C00849; C02632,; CHEBI:15688; CHEBI:16135; CHEBI:27750; CHEBI:30772
24,87.05626500680337,1780.5362841306567,0.00012109319662556572,C3H8N2O,-H(-),HMDB0029198; HMDB29198,C16364,CHEBI:80472
25,88.0404153841694,91973.19663264166,-1.3684169417160774e-05,C3H7NO2,-H(-),HMDB0000056; HMDB0000161; HMDB0000271; HMDB0001310; HMDB00056; HMDB00161; HMDB00271; HMDB0031219; HMDB0062251; HMDB01310; HMDB31219; HMDB62251,C00041; C00099; C00133; C00213; C01401; C01537,CHEBI:15570; CHEBI:15611; CHEBI:16449; CHEBI:16958; CHEBI:16977; CHEBI:17967
26,89.02437041612944,454057.0031825726,4.6883870552960616e-05,C3H6O3,-H(-),HMDB0000190; HMDB0000700; HMDB0001051; HMDB0001311; HMDB0001882; HMDB00171; HMDB00190; HMDB0029580; HMDB0031232; HMDB0041929; HMDB0062492; HMDB00700; HMDB01051; HMDB01311; HMDB0144295; HMDB01882; HMDB03328; HMDB29580; HMDB31232; HMDB41929; HMDB62492,C00184; C00186; C00256; C01013; C02154,; CHEBI:132098; CHEBI:16016; CHEBI:33404; CHEBI:341; CHEBI:36596; CHEBI:422; CHEBI:50849; CHEBI:5445
27,90.019073577568,7972.364739551453,0.0005927224320032565,C2H5NO3,-H(-),HMDB0143414,,
28,91.02200074314872,2223.717569760195,0.00030805685128143523,C3H8OS,-H(-),HMDB0030299; HMDB30299,,; CHEBI:91018
29,92.05067319097203,3335.0149357945947,-0.00010069097203313504,C6H7N,-H(-),HMDB0003012; HMDB0061887; HMDB0061888; HMDB03012; HMDB61887; HMDB61888,C00292; C14447,; CHEBI:17296; CHEBI:39922; CHEBI:50415
30,93.04574115730149,87178.32908450041,8.034269849588327e-05,C5H6N2,-H(-),HMDB0033112; HMDB33112,,
