ionIdx,ionMz,ionAverageInt,mz delta,formula,ion,label (bona fide),HMDB ids,KEGG ids,other ids
22,85.0295374907366,12217.711861707987,-3.4790736606282735e-05,C4H6O2,-H(-),Succinic aldehyde,HMDB0000549; HMDB0002523; HMDB0003407; HMDB0010720; HMDB0031209; HMDB0033977; HMDB0034439; HMDB00549; HMDB02523; HMDB03407; HMDB10720; HMDB31209; HMDB33977; HMDB34439,C00741; C01770; C01771; C19309; C19443,; CHEBI:16583; CHEBI:36253; CHEBI:41131; CHEBI:42639; CHEBI:46916
23,86.0248850622908,1045.5258561514022,-0.00013336229081062356,C3H5NO2,-H(-),Dehydroalanine,HMDB0003609; HMDB0039426; HMDB03609; HMDB06356; HMDB39426,C02218,; CHEBI:17123
24,87.0087081705587,6067.563737260566,5.912944129704556e-05,C3H4O3,-H(-),Pyruvate,HMDB0000243; HMDB0011111; HMDB00243; HMDB0040261; HMDB0062676; HMDB11111; HMDB11666; HMDB40261; HMDB62676,C00022; C00222,; CHEBI:17960; CHEBI:32816; CHEBI:86354
25,88.04041917211693,10417.354788423143,-1.7472116937256033e-05,C3H7NO2,-H(-),Alanine,HMDB0000056; HMDB0000161; HMDB0000271; HMDB0001310; HMDB00056; HMDB00161; HMDB00271; HMDB0031219; HMDB0062251; HMDB01310; HMDB31219; HMDB62251,C00041; C00099; C00133; C00213; C01401; C01537,CHEBI:15570; CHEBI:15611; CHEBI:16449; CHEBI:16958; CHEBI:16977; CHEBI:17967
26,89.02434576113781,34423.93536209107,7.15388621870261e-05,C3H6O3,-H(-),Lactate,HMDB0000190; HMDB0000700; HMDB0001051; HMDB0001311; HMDB0001882; HMDB00171; HMDB00190; HMDB0029580; HMDB0031232; HMDB0041929; HMDB0062492; HMDB00700; HMDB01051; HMDB01311; HMDB0144295; HMDB01882; HMDB03328; HMDB29580; HMDB31232; HMDB41929; HMDB62492,C00184; C00186; C00256; C01013; C02154,; CHEBI:132098; CHEBI:16016; CHEBI:33404; CHEBI:341; CHEBI:36596; CHEBI:422; CHEBI:50849; CHEBI:5445
27,89.04306910230144,3306.707419940073,-2.490230144758243e-05,C4H10S,-H(-),2-Methyl-1-propanethiol,HMDB0031245; HMDB0031322; HMDB0031666; HMDB0040576; HMDB0061871; HMDB31245; HMDB31322; HMDB31666; HMDB40576; HMDB61871,C02272,; CHEBI:27710
28,90.01895365541725,1427.7267967238784,0.000712644582748112,C2H5NO3,-H(-),(hydroxymethyl)carbamic acid,HMDB0143414,,
29,91.05542659149576,5001.682012511096,-0.00010309149575959964,C7H8,-H(-),Toluene,HMDB0034168; HMDB34168,C01455,CHEBI:17578
30,92.05073183052242,1838.858707807725,-0.0001593305224218966,C6H7N,-H(-),Aniline,HMDB0003012; HMDB0061887; HMDB0061888; HMDB03012; HMDB61887; HMDB61888,C00292; C14447,; CHEBI:17296; CHEBI:39922; CHEBI:50415
30,92.05073183052242,1838.858707807725,0.0009834694775605612,C3H7NO,.F(-),Aminoacetone,HMDB0001106; HMDB0001888; HMDB0002134; HMDB01106; HMDB0142435; HMDB01888; HMDB02134; HMDB60177,C01888; C03134; C05665,; CHEBI:17741; CHEBI:17906; CHEBI:18090
31,93.04603005321253,35046.35257318246,-0.0002085532125448708,C5H6N2,-H(-),Methylpyrazine,HMDB0033112; HMDB33112,,
31,93.04603005321253,35046.35257318246,0.0009342467874517979,C2H6N2O,.F(-),Acetylhydrazine,HMDB0031419; HMDB0060428; HMDB0062472; HMDB31419; HMDB60428; HMDB62472,C07447; C14704,; CHEBI:2422; CHEBI:35807; CHEBI:42843
32,94.02987876279546,8116.32832816912,-4.1662795467800606e-05,C5H5NO,-H(-),Hydroxypyridine,HMDB0013751; HMDB0036057; HMDB13751; HMDB36057,C02502,; CHEBI:16540; CHEBI:59978
33,94.98071363004189,202979.2324793388,-0.00010523004189622043,H4O4Si,-H(-),Silicic acid,HMDB0031436; HMDB31436,,; CHEBI:26675
34,95.01398029538578,13285.963931680437,-0.00012759538577711282,C5H4O2,-H(-),Furfural,HMDB0032914; HMDB0060503; HMDB32914; HMDB60503,C14279,; CHEBI:28906
35,95.05030066008497,2627.099359507361,-6.256008497018684e-05,C6H8O,-H(-),Cyclohexenone,HMDB0031545; HMDB0031546; HMDB0032965; HMDB0033182; HMDB0034729; HMDB0040587; HMDB0040588; HMDB31545; HMDB31546; HMDB32965; HMDB33182; HMDB34729; HMDB40587; HMDB40588,,
36,96.96942604684983,470989.9632859848,0.00019235315015464494,H3O4P,-H(-),Phosphoric acid,HMDB0002142; HMDB02142,C00009,CHEBI:26078
37,97.06524769873116,7614.760778444873,0.0006404012688392413,C6H10O,-H(-),Cyclohexanone,HMDB0003315; HMDB0030332; HMDB0031196; HMDB0031496; HMDB0031497; HMDB0031498; HMDB0031563; HMDB0031564; HMDB0033549; HMDB0033714; HMDB0035239; HMDB0040264; HMDB0040271; HMDB03315; HMDB30332; HMDB31196; HMDB31496; HMDB31497; HMDB31498; HMDB31563; HMDB31564; HMDB33549; HMDB33714; HMDB35239; HMDB40264; HMDB40271,C00414; C08497; C16310,; CHEBI:17854; CHEBI:18554; CHEBI:20030
38,98.02484880641342,5453.906190731532,-9.71064134205335e-05,C4H5NO2,-H(-),Succinimide,HMDB0030276; HMDB30276,,
39,99.04561239547346,15256.907068758072,-0.0004596954734523706,C5H8O2,-H(-),Valerolactone,HMDB0000509; HMDB0001470; HMDB0001862; HMDB0002167; HMDB0029599; HMDB0029608; HMDB0031178; HMDB0031598; HMDB0031602; HMDB0031648; HMDB0032351; HMDB0032385; HMDB0032459; HMDB0033840; HMDB0033978; HMDB00509; HMDB0130837; HMDB0132474; HMDB01470; HMDB0170858; HMDB01862; HMDB02167; HMDB29599; HMDB29608; HMDB31178; HMDB31598; HMDB31602; HMDB31648; HMDB32351; HMDB32385; HMDB32459; HMDB33840; HMDB33978,C08279; C12518; C14527; C15499; C19238,; CHEBI:14750; CHEBI:34840; CHEBI:35936; CHEBI:36431; CHEBI:37127; CHEBI:38366; CHEBI:48569; CHEBI:52774; CHEBI:64276; CHEBI:84978; CHEBI:9592
40,100.02260029027995,3282.728404313824,4.290972005094318e-05,C4H7NS,-H(-),"4,5-Dihydro-2-methylthiazole",HMDB0029555; HMDB29555,,
41,100.04048514967549,5066.6579012383245,-8.344967548623572e-05,C4H7NO2,-H(-),Homoserine lactone,HMDB0029387; HMDB0029615; HMDB0036458; HMDB29387; HMDB29615; HMDB36458,C01234; C02926,; CHEBI:17289; CHEBI:18053; CHEBI:38108
42,101.02457710639767,25608.2262431237,-0.00015980639767576577,C4H6O3,-H(-),Oxobutanoic acid,HMDB0000005; HMDB0000060; HMDB00005; HMDB0001172; HMDB0001259; HMDB0002217; HMDB0003381; HMDB00060; HMDB0031646; HMDB01172; HMDB01259; HMDB02217; HMDB03381; HMDB06544; HMDB31646,C00109; C00164; C00232; C00349; C06002,; CHEBI:15344; CHEBI:16256; CHEBI:16265; CHEBI:27821; CHEBI:30831; CHEBI:36610; CHEBI:553775
43,101.04276146745171,5776.41728515894,0.00028273254828548033,C5H10S,-H(-),3-Methyl-2-butene-1-thiol,HMDB0031529; HMDB0038892; HMDB0039771; HMDB0040347; HMDB31529; HMDB38892; HMDB39771; HMDB40347,,
44,101.04872838419845,4465.145831001959,-0.0005016841984541998,C4H8NO2,-H(-),3-Aminobutyrate,HMDB0094693; HMDB94693,,; CHEBI:87997
