sample_col_name,INDEX,FILE_NAME,FILE_CODE,SAMPLE_NAME,LABEL,SEQUENCE,sample_type,batch_id,group_label
001 / burnin,1,20200108_Harm2_0001.d,20200911093120872-2637524,burnin1,burnin,P001:001 seq1 control,burnin,Batch1_0108 DATA,burnin
002 / burnin,2,20200108_Harm2_0002.d,20200911093122017-2637525,burnin2,burnin,P001:002 seq1 control,burnin,Batch1_0108 DATA,burnin
003 / burnin,3,20200108_Harm2_0003.d,20200911093122947-2637526,burnin3,burnin,P001:003 seq1 control,burnin,Batch1_0108 DATA,burnin
004 / burnin,4,20200108_Harm2_0004.d,20200911093123854-2637527,burnin4,burnin,P001:004 seq1 control,burnin,Batch1_0108 DATA,burnin
005 / burnin,5,20200108_Harm2_0005.d,20200911093124785-2637528,burnin5,burnin,P001:005 seq1 control,burnin,Batch1_0108 DATA,burnin
006 / water,6,20200108_Harm2_0006.d,20200911093125675-2637529,ctrl_p01_c1,water,P001:006 seq1 control,water,Batch1_0108 DATA,water
007 / water,7,20200108_Harm2_0007.d,20200911093126601-2637530,ctrl_p01_c2,water,P001:007 seq1 control,water,Batch1_0108 DATA,water
008 / P1_AA_0256,8,20200108_Harm2_0008.d,20200911093127497-2637531,20200108_Plate1_045,P1_AA_0256,P001:008 seq1,formal_or_unknown,Batch1_0108 DATA,P1_AA_0256
009 / P1_AA_0256,9,20200108_Harm2_0009.d,20200911093128459-2637532,20200108_Plate1_045,P1_AA_0256,P001:009 seq1,formal_or_unknown,Batch1_0108 DATA,P1_AA_0256
010 / P1_AA_0256,10,20200108_Harm2_0010.d,20200911093129368-2637533,20200108_Plate1_045,P1_AA_0256,P001:010 seq1,formal_or_unknown,Batch1_0108 DATA,P1_AA_0256
011 / water,11,20200108_Harm2_0011.d,20200911093130301-2637534,ctrl_p01_c1,water,P001:011 seq1 control,water,Batch1_0108 DATA,water
012 / water,12,20200108_Harm2_0012.d,20200911093131208-2637535,ctrl_p01_c2,water,P001:012 seq1 control,water,Batch1_0108 DATA,water
013 / P1_SRM_0032,13,20200108_Harm2_0013.d,20200911093133071-2637536,20200108_Plate1_06,P1_SRM_0032,P001:013 seq1,srm,Batch1_0108 DATA,P1_SRM_0032
014 / P1_SRM_0032,14,20200108_Harm2_0014.d,20200911093134035-2637537,20200108_Plate1_06,P1_SRM_0032,P001:014 seq1,srm,Batch1_0108 DATA,P1_SRM_0032
015 / P1_SRM_0032,15,20200108_Harm2_0015.d,20200911093134993-2637538,20200108_Plate1_06,P1_SRM_0032,P001:015 seq1,srm,Batch1_0108 DATA,P1_SRM_0032
016 / water,16,20200108_Harm2_0016.d,20200911093136065-2637539,ctrl_p01_c1,water,P001:016 seq1 control,water,Batch1_0108 DATA,water
017 / water,17,20200108_Harm2_0017.d,20200911093137055-2637540,ctrl_p01_c2,water,P001:017 seq1 control,water,Batch1_0108 DATA,water
018 / P1_Full_0004,18,20200108_Harm2_0018.d,20200911093138043-2637541,20200108_Plate1_015,P1_Full_0004,P001:018 seq1,formal_or_unknown,Batch1_0108 DATA,P1_Full_0004
019 / P1_Full_0004,19,20200108_Harm2_0019.d,20200911093138987-2637542,20200108_Plate1_015,P1_Full_0004,P001:019 seq1,formal_or_unknown,Batch1_0108 DATA,P1_Full_0004
020 / P1_Full_0004,20,20200108_Harm2_0020.d,20200911093139948-2637543,20200108_Plate1_015,P1_Full_0004,P001:020 seq1,formal_or_unknown,Batch1_0108 DATA,P1_Full_0004
021 / water,21,20200108_Harm2_0021.d,20200911093140960-2637544,ctrl_p01_c1,water,P001:021 seq1 control,water,Batch1_0108 DATA,water
022 / water,22,20200108_Harm2_0022.d,20200911093141862-2637545,ctrl_p01_c2,water,P001:022 seq1 control,water,Batch1_0108 DATA,water
023 / P1_FA_0064,23,20200108_Harm2_0023.d,20200911093142712-2637546,20200108_Plate1_055,P1_FA_0064,P001:023 seq1,formal_or_unknown,Batch1_0108 DATA,P1_FA_0064
024 / P1_FA_0064,24,20200108_Harm2_0024.d,20200911093143590-2637547,20200108_Plate1_055,P1_FA_0064,P001:024 seq1,formal_or_unknown,Batch1_0108 DATA,P1_FA_0064
025 / P1_FA_0064,25,20200108_Harm2_0025.d,20200911093144594-2637548,20200108_Plate1_055,P1_FA_0064,P001:025 seq1,formal_or_unknown,Batch1_0108 DATA,P1_FA_0064
026 / water,26,20200108_Harm2_0026.d,20200911093145577-2637549,ctrl_p01_c1,water,P001:026 seq1 control,water,Batch1_0108 DATA,water
027 / water,27,20200108_Harm2_0027.d,20200911093146508-2637550,ctrl_p01_c2,water,P001:027 seq1 control,water,Batch1_0108 DATA,water
028 / P1_Full_0001,28,20200108_Harm2_0028.d,20200911093147398-2637551,20200108_Plate1_013,P1_Full_0001,P001:028 seq1,formal_or_unknown,Batch1_0108 DATA,P1_Full_0001
029 / P1_Full_0001,29,20200108_Harm2_0029.d,20200911093148438-2637552,20200108_Plate1_013,P1_Full_0001,P001:029 seq1,formal_or_unknown,Batch1_0108 DATA,P1_Full_0001
030 / P1_Full_0001,30,20200108_Harm2_0030.d,20200911093149445-2637553,20200108_Plate1_013,P1_Full_0001,P001:030 seq1,formal_or_unknown,Batch1_0108 DATA,P1_Full_0001
031 / water,31,20200108_Harm2_0031.d,20200911093150438-2637554,ctrl_p01_c1,water,P001:031 seq1 control,water,Batch1_0108 DATA,water
032 / water,32,20200108_Harm2_0032.d,20200911093151398-2637555,ctrl_p01_c2,water,P001:032 seq1 control,water,Batch1_0108 DATA,water
033 / P1_AA_0001,33,20200108_Harm2_0033.d,20200911093152599-2637556,20200108_Plate1_037,P1_AA_0001,P001:033 seq1,formal_or_unknown,Batch1_0108 DATA,P1_AA_0001
034 / P1_AA_0001,34,20200108_Harm2_0034.d,20200911093153779-2637557,20200108_Plate1_037,P1_AA_0001,P001:034 seq1,formal_or_unknown,Batch1_0108 DATA,P1_AA_0001
035 / P1_AA_0001,35,20200108_Harm2_0035.d,20200911093154808-2637558,20200108_Plate1_037,P1_AA_0001,P001:035 seq1,formal_or_unknown,Batch1_0108 DATA,P1_AA_0001
036 / water,36,20200108_Harm2_0036.d,20200911093155819-2637559,ctrl_p01_c1,water,P001:036 seq1 control,water,Batch1_0108 DATA,water
037 / water,37,20200108_Harm2_0037.d,20200911093156806-2637560,ctrl_p01_c2,water,P001:037 seq1 control,water,Batch1_0108 DATA,water
038 / P1_Full_0008,38,20200108_Harm2_0038.d,20200911093157707-2637561,20200108_Plate1_016,P1_Full_0008,P001:038 seq1,formal_or_unknown,Batch1_0108 DATA,P1_Full_0008
039 / P1_Full_0008,39,20200108_Harm2_0039.d,20200911093158668-2637562,20200108_Plate1_016,P1_Full_0008,P001:039 seq1,formal_or_unknown,Batch1_0108 DATA,P1_Full_0008
040 / P1_Full_0008,40,20200108_Harm2_0040.d,20200911093159631-2637563,20200108_Plate1_016,P1_Full_0008,P001:040 seq1,formal_or_unknown,Batch1_0108 DATA,P1_Full_0008
041 / water,41,20200108_Harm2_0041.d,20200911093200591-2637564,ctrl_p01_c1,water,P001:041 seq1 control,water,Batch1_0108 DATA,water
042 / water,42,20200108_Harm2_0042.d,20200911093201545-2637565,ctrl_p01_c2,water,P001:042 seq1 control,water,Batch1_0108 DATA,water
043 / P1_Bio_0064,43,20200108_Harm2_0043.d,20200911093202456-2637566,20200108_Plate1_031,P1_Bio_0064,P001:043 seq1,formal_or_unknown,Batch1_0108 DATA,P1_Bio_0064
