ionIdx,ionMz,ionAverageInt,Top annotation formula,Top annotation ion
1,57.03386268573475,8655.559296854764,C3H6O,-H(-)
2,59.01323920278728,74165.61436517982,C2H4O2,-H(-)
3,66.03438982384395,546.2627744151241,C4H5N,-H(-)
4,67.02969726927297,3306.750936903657,C3H4N2,-H(-)
5,68.05012666750157,776.6576801765074,C4H7N,-H(-)
6,69.03425569348998,2117.07469388166,C4H6O,-H(-)
7,70.02947409074748,3599.8045856196554,C3H5NO,-H(-)
8,71.01347294743522,16072.316944049582,C3H4O2,-H(-)
9,72.9928272340601,1154.4811820383459,C2H2O3,-H(-)
10,73.02910332428253,8640.480323980153,C3H6O2,-H(-)
11,74.02429989233029,28829.375899879742,C2H5NO2,-H(-)
12,75.0086205870274,2040.726230923378,C2H4O3,-H(-)
13,75.02770065341258,695.3084640484695,C3H8S,-H(-)
14,77.0392078894617,1727.7384394623987,C6H6,-H(-)
15,79.95722471081133,12578.98712160579,HO3S,-H(-)
16,80.96300174803815,3783.665902082955,ClHNO2,-H(-)
17,81.04546708275168,696.609489049652,C4H6N2,-H(-)
18,83.05094340387622,2294.549235125477,C5H8O,-H(-)
19,84.04522577791087,1077.6437016688724,C4H7NO,-H(-)
20,84.08155587987963,328.4347307236587,C5H11N,-H(-)
21,85.02903188189073,12369.81694158273,C4H6O2,-H(-)
22,86.02448645796801,3380.489555178731,C3H5NO2,-H(-)
23,87.04474804164738,5983.013002352739,C4H8O2,-H(-)
24,87.05606768043361,1664.3824104608811,C3H8N2O,-H(-)
25,88.04020448792188,82250.90141427891,C3H7NO2,-H(-)
26,89.02406893490553,516564.41759496403,C3H6O3,-H(-)
27,92.0502789942778,3222.091511368978,C6H7N,-H(-)
28,93.04552625628183,83466.0775111219,C5H6N2,-H(-)
29,93.07199775392401,3269.673879911618,C7H10,-H(-)
30,94.02934203342684,13062.045884161984,C5H5NO,-H(-)
31,94.98034203486375,109708.89438705033,H4O4Si,-H(-)
32,95.01316882314201,9246.423867845668,C5H4O2,-H(-)
33,95.04999175401353,5985.749108078911,C6H8O,-H(-)
34,96.0451419220556,1618.2292860211048,C5H7NO,-H(-)
35,96.96870323879186,1192776.9311510785,H3O4P,-H(-)
36,98.02438973646132,6625.810933177838,C4H5NO2,-H(-)
37,99.00837089327207,28509.848426632198,C4H4O3,-H(-)
38,99.04476932213515,23953.506214964036,C5H8O2,-H(-)
39,99.08075189490731,2952.1593454347462,C6H12O,-H(-)
40,100.0221994799001,3610.5890768301765,C4H7NS,-H(-)
41,100.04006454609647,7029.631844479967,C4H7NO2,-H(-)
42,101.02400383923649,40418.08069856116,C4H6O3,-H(-)
43,101.0604053559247,13051.482442607901,C5H10O2,-H(-)
44,102.03780802166965,4271.398637208577,C4H9NS,-H(-)
45,102.05576224358649,103632.43759271814,C4H9NO2,-H(-)
46,103.00313349891367,3113.796032762196,C3H4O4,-H(-)
47,103.02186115457917,5559.456256253864,C4H8OS,-H(-)
48,103.0395664210178,53460.80319361792,C4H8O3,-H(-)
49,104.03489990717965,83724.07884963499,C3H7NO3,-H(-)
50,105.01885062646544,9610.61354770065,C3H6O4,-H(-)
51,105.03764929812901,12618.000967397425,C4H10OS,-H(-)
52,105.07052742088449,1259.6266746900644,C8H10,-H(-)
53,107.04979818572606,102949.99305589036,C7H8O,-H(-)
54,108.04514604726886,13423.58812956161,C6H7NO,-H(-)
55,109.01100491593643,6086.632714862581,C6H6S,-H(-)
56,109.02894941820934,32213.163411049925,C6H6O2,-H(-)
57,109.04033063443832,16923.151663670196,C5H6N2O,-H(-)
58,109.06541469354401,6624.2563672897895,C7H10O,-H(-)
59,110.03579635467626,155787.61998570443,C4H5N3O,-H(-)
60,110.07227807310504,30785.665210167357,C5H9N3,-H(-)
