ionIdx,ionMz,ionAverageInt,mz delta,formula,ion,HMDB ids,KEGG ids,other ids
738,347.1852307105438,5255.596517624357,0.0011657894561949433,C20H28O5,-H(-),HMDB0032010; HMDB32010,,
738,347.1852307105438,5255.596517624357,-0.0007214332000557988,C23H25NO2,-H(-) [+1],HMDB0038837; HMDB38837,,
739,349.078135996304,3862.950773720634,-0.0005018963040015478,C13H18O11,-H(-),HMDB0130161,,
740,349.23932375925006,3534.8744264898546,-0.000891859250032212,C21H34O4,-H(-),HMDB0000268; HMDB0000449; HMDB00268; HMDB00449,C05476,
740,349.23932375925006,3534.8744264898546,0.0002509407499928784,C18H34O5,.F(-),HMDB0004710; HMDB04710,C14835,
741,350.04782552830414,1645.7932794184364,-0.001254128304083224,C16H15O7S,-H(-),HMDB0127798; HMDB0127800,,
742,351.1244114238299,9065.066735713383,-0.0006149238298576165,C21H20O5,-H(-),HMDB0034837; HMDB0035129; HMDB0125843; HMDB34837; HMDB35129,,
742,351.1244114238299,9065.066735713383,-0.0008147238298761295,C16H18N3O5,.F(-),HMDB0029082; HMDB29082,,
742,351.1244114238299,9065.066735713383,0.0005278761701106305,C18H20O6,.F(-),HMDB0030664; HMDB0034262; HMDB0039571; HMDB0040308; HMDB0140288; HMDB30664; HMDB34262; HMDB39571; HMDB40308,,
743,351.21711464035815,4763.52737355216,0.0005818596418407651,C20H32O5,-H(-),HMDB0001403; HMDB0002776; HMDB0004240; HMDB0005077; HMDB0005844; HMDB0012564; HMDB0034676; HMDB0035064; HMDB0035338; HMDB0035339; HMDB0036756; HMDB0060041; HMDB01403; HMDB02776; HMDB04240; HMDB05077; HMDB05844; HMDB11650; HMDB12564; HMDB34676; HMDB35064; HMDB35338; HMDB35339; HMDB36756; HMDB60041,C00696; C04671; C05960,; CHEBI:131888; CHEBI:15550; CHEBI:15555; CHEBI:28442
744,351.3275962529744,2261.1479426782057,-0.0007435529744270752,C23H44O2,-H(-),HMDB0035564; HMDB0035565; HMDB35564; HMDB35565,,
