sample_col_name,INDEX,FILE_NAME,FILE_CODE,SAMPLE_NAME,LABEL,SEQUENCE,sample_type,batch_id,group_label
001 / burnin,1,20200221_Harm2_4GHz_0001.d,20200319080658855-2491613,burnin1,burnin,P001:001 seq1 control,burnin,Batch5_0221 DATA,burnin
002 / burnin,2,20200221_Harm2_4GHz_0002.d,20200319080659915-2491614,burnin2,burnin,P001:002 seq1 control,burnin,Batch5_0221 DATA,burnin
003 / burnin,3,20200221_Harm2_4GHz_0003.d,20200319080701084-2491615,burnin3,burnin,P001:003 seq1 control,burnin,Batch5_0221 DATA,burnin
004 / burnin,4,20200221_Harm2_4GHz_0004.d,20200319080702150-2491616,burnin4,burnin,P001:004 seq1 control,burnin,Batch5_0221 DATA,burnin
005 / burnin,5,20200221_Harm2_4GHz_0005.d,20200319080703180-2491617,burnin5,burnin,P001:005 seq1 control,burnin,Batch5_0221 DATA,burnin
006 / water,6,20200221_Harm2_4GHz_0006.d,20200319080704147-2491618,ctrl_p01_c1,water,P001:006 seq1 control,water,Batch5_0221 DATA,water
007 / water,7,20200221_Harm2_4GHz_0007.d,20200319080705126-2491619,ctrl_p01_c2,water,P001:007 seq1 control,water,Batch5_0221 DATA,water
008 / P1_PP_0032,8,20200221_Harm2_4GHz_0008.d,20200319080706109-2491620,20200221_Plate1_076,P1_PP_0032,P001:008 seq1,formal_or_unknown,Batch5_0221 DATA,P1_PP_0032
009 / P1_PP_0032,9,20200221_Harm2_4GHz_0009.d,20200319080707095-2491621,20200221_Plate1_076,P1_PP_0032,P001:009 seq1,formal_or_unknown,Batch5_0221 DATA,P1_PP_0032
010 / P1_PP_0032,10,20200221_Harm2_4GHz_0010.d,20200319080708034-2491622,20200221_Plate1_076,P1_PP_0032,P001:010 seq1,formal_or_unknown,Batch5_0221 DATA,P1_PP_0032
011 / water,11,20200221_Harm2_4GHz_0011.d,20200319080709022-2491623,ctrl_p01_c1,water,P001:011 seq1 control,water,Batch5_0221 DATA,water
012 / water,12,20200221_Harm2_4GHz_0012.d,20200319080710099-2491624,ctrl_p01_c2,water,P001:012 seq1 control,water,Batch5_0221 DATA,water
013 / P1_FA_0128,13,20200221_Harm2_4GHz_0013.d,20200319080711116-2491625,20200221_Plate1_065,P1_FA_0128,P001:013 seq1,formal_or_unknown,Batch5_0221 DATA,P1_FA_0128
014 / P1_FA_0128,14,20200221_Harm2_4GHz_0014.d,20200319080712070-2491626,20200221_Plate1_065,P1_FA_0128,P001:014 seq1,formal_or_unknown,Batch5_0221 DATA,P1_FA_0128
015 / P1_FA_0128,15,20200221_Harm2_4GHz_0015.d,20200319080713120-2491627,20200221_Plate1_065,P1_FA_0128,P001:015 seq1,formal_or_unknown,Batch5_0221 DATA,P1_FA_0128
016 / water,16,20200221_Harm2_4GHz_0016.d,20200319080714095-2491628,ctrl_p01_c1,water,P001:016 seq1 control,water,Batch5_0221 DATA,water
017 / water,17,20200221_Harm2_4GHz_0017.d,20200319080715088-2491629,ctrl_p01_c2,water,P001:017 seq1 control,water,Batch5_0221 DATA,water
018 / P1_Bio_1024,18,20200221_Harm2_4GHz_0018.d,20200319080716126-2491630,20200221_Plate1_040,P1_Bio_1024,P001:018 seq1,formal_or_unknown,Batch5_0221 DATA,P1_Bio_1024
