sample_col_name,INDEX,FILE_NAME,FILE_CODE,SAMPLE_NAME,LABEL,SEQUENCE,sample_type,batch_id,group_label
001 / burnin,1,20200110_Harm2_4GHz_0001.d,20200318222536913-2484676,burnin1,burnin,P001:001 seq1 control,burnin,Batch2_0110 DATA,burnin
002 / burnin,2,20200110_Harm2_4GHz_0002.d,20200318222537990-2484677,burnin2,burnin,P001:002 seq1 control,burnin,Batch2_0110 DATA,burnin
003 / burnin,3,20200110_Harm2_4GHz_0003.d,20200318222539035-2484678,burnin3,burnin,P001:003 seq1 control,burnin,Batch2_0110 DATA,burnin
004 / burnin,4,20200110_Harm2_4GHz_0004.d,20200318222540080-2484679,burnin4,burnin,P001:004 seq1 control,burnin,Batch2_0110 DATA,burnin
005 / burnin,5,20200110_Harm2_4GHz_0005.d,20200318222541084-2484680,burnin5,burnin,P001:005 seq1 control,burnin,Batch2_0110 DATA,burnin
006 / water,6,20200110_Harm2_4GHz_0006.d,20200318222542160-2484681,ctrl_p01_c1,water,P001:006 seq1 control,water,Batch2_0110 DATA,water
007 / water,7,20200110_Harm2_4GHz_0007.d,20200318222543170-2484682,ctrl_p01_c2,water,P001:007 seq1 control,water,Batch2_0110 DATA,water
008 / P1_Bio_0032,8,20200110_Harm2_4GHz_0008.d,20200318222544188-2484683,20200110_Plate1_030,P1_Bio_0032,P001:008 seq1,formal_or_unknown,Batch2_0110 DATA,P1_Bio_0032
009 / P1_Bio_0032,9,20200110_Harm2_4GHz_0009.d,20200318222545374-2484684,20200110_Plate1_030,P1_Bio_0032,P001:009 seq1,formal_or_unknown,Batch2_0110 DATA,P1_Bio_0032
010 / P1_Bio_0032,10,20200110_Harm2_4GHz_0010.d,20200318222546546-2484685,20200110_Plate1_030,P1_Bio_0032,P001:010 seq1,formal_or_unknown,Batch2_0110 DATA,P1_Bio_0032
011 / water,11,20200110_Harm2_4GHz_0011.d,20200318222547664-2484686,ctrl_p01_c1,water,P001:011 seq1 control,water,Batch2_0110 DATA,water
012 / water,12,20200110_Harm2_4GHz_0012.d,20200318222548664-2484687,ctrl_p01_c2,water,P001:012 seq1 control,water,Batch2_0110 DATA,water
013 / P1_Bio_0064,13,20200110_Harm2_4GHz_0013.d,20200318222549717-2484688,20200110_Plate1_031,P1_Bio_0064,P001:013 seq1,formal_or_unknown,Batch2_0110 DATA,P1_Bio_0064
014 / P1_Bio_0064,14,20200110_Harm2_4GHz_0014.d,20200318222550857-2484689,20200110_Plate1_031,P1_Bio_0064,P001:014 seq1,formal_or_unknown,Batch2_0110 DATA,P1_Bio_0064
015 / P1_Bio_0064,15,20200110_Harm2_4GHz_0015.d,20200318222551937-2484690,20200110_Plate1_031,P1_Bio_0064,P001:015 seq1,formal_or_unknown,Batch2_0110 DATA,P1_Bio_0064
016 / water,16,20200110_Harm2_4GHz_0016.d,20200318222553076-2484691,ctrl_p01_c1,water,P001:016 seq1 control,water,Batch2_0110 DATA,water
017 / water,17,20200110_Harm2_4GHz_0017.d,20200318222554164-2484692,ctrl_p01_c2,water,P001:017 seq1 control,water,Batch2_0110 DATA,water
018 / P1_SRM_0128,18,20200110_Harm2_4GHz_0018.d,20200318222555228-2484693,20200110_Plate1_08,P1_SRM_0128,P001:018 seq1,srm,Batch2_0110 DATA,P1_SRM_0128
019 / P1_SRM_0128,19,20200110_Harm2_4GHz_0019.d,20200318222556336-2484694,20200110_Plate1_08,P1_SRM_0128,P001:019 seq1,srm,Batch2_0110 DATA,P1_SRM_0128
020 / P1_SRM_0128,20,20200110_Harm2_4GHz_0020.d,20200318222557415-2484695,20200110_Plate1_08,P1_SRM_0128,P001:020 seq1,srm,Batch2_0110 DATA,P1_SRM_0128
021 / water,21,20200110_Harm2_4GHz_0021.d,20200318222558448-2484696,ctrl_p01_c1,water,P001:021 seq1 control,water,Batch2_0110 DATA,water
022 / water,22,20200110_Harm2_4GHz_0022.d,20200318222559513-2484697,ctrl_p01_c2,water,P001:022 seq1 control,water,Batch2_0110 DATA,water
023 / P1_Bio_0002,23,20200110_Harm2_4GHz_0023.d,20200318222600544-2484698,20200110_Plate1_026,P1_Bio_0002,P001:023 seq1,formal_or_unknown,Batch2_0110 DATA,P1_Bio_0002
024 / P1_Bio_0002,24,20200110_Harm2_4GHz_0024.d,20200318222601847-2484699,20200110_Plate1_026,P1_Bio_0002,P001:024 seq1,formal_or_unknown,Batch2_0110 DATA,P1_Bio_0002
025 / P1_Bio_0002,25,20200110_Harm2_4GHz_0025.d,20200318222603156-2484700,20200110_Plate1_026,P1_Bio_0002,P001:025 seq1,formal_or_unknown,Batch2_0110 DATA,P1_Bio_0002
026 / water,26,20200110_Harm2_4GHz_0026.d,20200318222604468-2484701,ctrl_p01_c1,water,P001:026 seq1 control,water,Batch2_0110 DATA,water
027 / water,27,20200110_Harm2_4GHz_0027.d,20200318222605654-2484702,ctrl_p01_c2,water,P001:027 seq1 control,water,Batch2_0110 DATA,water
028 / P1_SRM_0002,28,20200110_Harm2_4GHz_0028.d,20200318222606745-2484703,20200110_Plate1_02,P1_SRM_0002,P001:028 seq1,srm,Batch2_0110 DATA,P1_SRM_0002
029 / P1_SRM_0002,29,20200110_Harm2_4GHz_0029.d,20200318222607955-2484704,20200110_Plate1_02,P1_SRM_0002,P001:029 seq1,srm,Batch2_0110 DATA,P1_SRM_0002
030 / P1_SRM_0002,30,20200110_Harm2_4GHz_0030.d,20200318222609144-2484705,20200110_Plate1_02,P1_SRM_0002,P001:030 seq1,srm,Batch2_0110 DATA,P1_SRM_0002
031 / water,31,20200110_Harm2_4GHz_0031.d,20200318222610411-2484706,ctrl_p01_c1,water,P001:031 seq1 control,water,Batch2_0110 DATA,water
032 / water,32,20200110_Harm2_4GHz_0032.d,20200318222611512-2484707,ctrl_p01_c2,water,P001:032 seq1 control,water,Batch2_0110 DATA,water
033 / P1_AA_0512,33,20200110_Harm2_4GHz_0033.d,20200318222612621-2484708,20200110_Plate1_046,P1_AA_0512,P001:033 seq1,formal_or_unknown,Batch2_0110 DATA,P1_AA_0512
034 / P1_AA_0512,34,20200110_Harm2_4GHz_0034.d,20200318222613630-2484709,20200110_Plate1_046,P1_AA_0512,P001:034 seq1,formal_or_unknown,Batch2_0110 DATA,P1_AA_0512
035 / P1_AA_0512,35,20200110_Harm2_4GHz_0035.d,20200318222614663-2484710,20200110_Plate1_046,P1_AA_0512,P001:035 seq1,formal_or_unknown,Batch2_0110 DATA,P1_AA_0512
036 / water,36,20200110_Harm2_4GHz_0036.d,20200318222615707-2484711,ctrl_p01_c1,water,P001:036 seq1 control,water,Batch2_0110 DATA,water
037 / water,37,20200110_Harm2_4GHz_0037.d,20200318222616745-2484712,ctrl_p01_c2,water,P001:037 seq1 control,water,Batch2_0110 DATA,water
038 / P1_Full_0256,38,20200110_Harm2_4GHz_0038.d,20200318222617752-2484713,20200110_Plate1_021,P1_Full_0256,P001:038 seq1,formal_or_unknown,Batch2_0110 DATA,P1_Full_0256
039 / P1_Full_0256,39,20200110_Harm2_4GHz_0039.d,20200318222618836-2484714,20200110_Plate1_021,P1_Full_0256,P001:039 seq1,formal_or_unknown,Batch2_0110 DATA,P1_Full_0256
040 / P1_Full_0256,40,20200110_Harm2_4GHz_0040.d,20200318222619900-2484715,20200110_Plate1_021,P1_Full_0256,P001:040 seq1,formal_or_unknown,Batch2_0110 DATA,P1_Full_0256
