ionIdx,ionMz,ionAverageInt,mz delta,formula,ion,label (bona fide),HMDB ids,KEGG ids,other ids
1,57.03423231739021,8576.192251942452,0.00035578260978752496,C3H6O,-H(-),Acetone,HMDB0001659; HMDB0003366; HMDB0031652; HMDB01659; HMDB03366; HMDB31652,C00207; C00479; C02001,CHEBI:15347; CHEBI:16605; CHEBI:17153
2,58.02888573647198,969.3059207897466,0.0009513635280171684,C2H5NO,-H(-),Acetamide,HMDB0001122; HMDB0003656; HMDB0031645; HMDB01122; HMDB03656; HMDB31645,C02658; C06244; C11489,CHEBI:27856; CHEBI:50718; CHEBI:7438
3,59.01352617051809,69330.97203021584,0.00032652948191014275,C2H4O2,-H(-),Acetatic acid,HMDB0000042; HMDB0003344; HMDB00042; HMDB02165; HMDB03344,C00033; C00266,CHEBI:15366; CHEBI:17071
4,66.03480362883799,495.22303865720517,0.00011887116200171022,C4H5N,-H(-),3-Butenenitrile,HMDB0031323; HMDB0035924; HMDB31323; HMDB35924,C19907,; CHEBI:19203
5,67.03005379945712,3454.2475311777707,0.00011770054287296716,C3H4N2,-H(-),Imidazole,HMDB0001525; HMDB01525,C01589,CHEBI:16069
6,68.05040268219157,1629.264372184847,0.00016981780842684202,C4H7N,-H(-),1-Pyrrolinium,HMDB0060246; HMDB60246,,
7,69.03457152577214,1924.3754184011073,1.6574227856835932e-05,C4H6O,-H(-),Butynol,HMDB0034233; HMDB0061873; HMDB0061874; HMDB34233; HMDB61873; HMDB61874,,; CHEBI:48058
8,70.02972809626188,3695.347496845268,0.00010900373811750796,C3H5NO,-H(-),Acrylamide,HMDB0004296; HMDB04296,C01659,CHEBI:28619
9,71.01388539746095,15013.56905296818,-3.269746095213577e-05,C3H4O2,-H(-),Propenoic acid C3:1,HMDB0001167; HMDB0006112; HMDB0031647; HMDB01167; HMDB06112; HMDB31647,C00511; C00546; C19440,CHEBI:17158; CHEBI:18308; CHEBI:566274
10,71.04979611822878,1616.990800097691,0.00044198177121757,C4H8O,-H(-),Butanal,HMDB0000246; HMDB0000474; HMDB0003543; HMDB00246; HMDB0031243; HMDB0031324; HMDB0034431; HMDB00474; HMDB03543; HMDB31243; HMDB31324; HMDB34431,C01412; C02845; C03219,; CHEBI:15743; CHEBI:26911; CHEBI:28398; CHEBI:48943
11,72.99315868645049,1182.590090250692,-4.138645049067691e-05,C2H2O3,-H(-),Glyoxylic acid,HMDB0000119; HMDB00119,C00048,CHEBI:16891
11,72.99315868645049,1182.590090250692,-0.00010143547392260643,C2H3NS,-H(-) [+1],Methyl isothiocyanate,HMDB0034106; HMDB34106,C18587,CHEBI:78337
12,73.01206982863899,1904.8113951368593,-0.00032562863898988326,C3H6S,-H(-),2-Propene-1-thiol,HMDB0031635; HMDB31635,,
13,73.02951154210697,9020.45737183958,-8.842106979045639e-06,C3H6O2,-H(-),C3:0 (Propionic acid),HMDB0000237; HMDB0003052; HMDB0003453; HMDB0006458; HMDB00237; HMDB0031523; HMDB03052; HMDB03453; HMDB06458; HMDB06949; HMDB31523,C00163; C00424; C00937; C00969; C17530,; CHEBI:17167; CHEBI:17871; CHEBI:18041; CHEBI:30768
14,73.04001304046754,1965.6137206682072,0.0007230595324472233,C2H6N2O,-H(-),Acetylhydrazine,HMDB0031419; HMDB0060428; HMDB0062472; HMDB31419; HMDB60428; HMDB62472,C07447; C14704,; CHEBI:2422; CHEBI:35807; CHEBI:42843
15,74.02474083821282,29465.24469476747,1.086178717457642e-05,C2H5NO2,-H(-),Glycine,HMDB0000123; HMDB00123; HMDB0014691; HMDB0031239; HMDB14691; HMDB31239,C00037; C06808,; CHEBI:15428; CHEBI:27777
16,75.00879714124942,2747.165799552608,-2.984124941463051e-05,C2H4O3,-H(-),Glycolate,HMDB0000115; HMDB00115; HMDB0031608; HMDB03035; HMDB31608,C00160,; CHEBI:17497
17,75.02811332034679,673.7905840749588,-0.0007191203467868945,C3H8S,-H(-),Ethyl methyl sulfide,HMDB0031238; HMDB0031634; HMDB0034238; HMDB31238; HMDB31634; HMDB34238,C08390; C08391,; CHEBI:8473; CHEBI:8474
17,75.02811332034679,673.7905840749588,-0.0008458642921027604,C2H5NO2,-H(-) [+1],Glycine,HMDB0000123; HMDB00123; HMDB0014691; HMDB0031239; HMDB14691; HMDB31239,C00037; C06808,; CHEBI:15428; CHEBI:27777
18,77.0063256329391,774.110732428198,0.00033316706090147363,C2H6OS,-H(-),DMSO,HMDB0002151; HMDB02151,C11143,CHEBI:28262
19,77.03958957684495,1653.97955900763,8.392315504579528e-05,C6H6,-H(-),Benzene,HMDB0001505; HMDB01505,C01407,CHEBI:16716
