ionIdx,ionMz,ionAverageInt,Top annotation formula,Top annotation ion
1,57.03423231739021,8576.192251942452,C3H6O,-H(-)
2,58.02888573647198,969.3059207897466,C2H5NO,-H(-)
3,59.01352617051809,69330.97203021584,C2H4O2,-H(-)
4,66.03480362883799,495.22303865720517,C4H5N,-H(-)
5,67.03005379945712,3454.2475311777707,C3H4N2,-H(-)
6,68.05040268219157,1629.264372184847,C4H7N,-H(-)
7,69.03457152577214,1924.3754184011073,C4H6O,-H(-)
8,70.02972809626188,3695.347496845268,C3H5NO,-H(-)
9,71.01388539746095,15013.56905296818,C3H4O2,-H(-)
10,71.04979611822878,1616.990800097691,C4H8O,-H(-)
11,72.99315868645049,1182.590090250692,C2H2O3,-H(-)
12,73.01206982863899,1904.8113951368593,C3H6S,-H(-)
13,73.02951154210697,9020.45737183958,C3H6O2,-H(-)
14,73.04001304046754,1965.6137206682072,C2H6N2O,-H(-)
15,74.02474083821282,29465.24469476747,C2H5NO2,-H(-)
16,75.00879714124942,2747.165799552608,C2H4O3,-H(-)
17,75.02811332034679,673.7905840749588,C3H8S,-H(-)
18,77.0063256329391,774.110732428198,C2H6OS,-H(-)
19,77.03958957684495,1653.97955900763,C6H6,-H(-)
20,79.95740889134156,17544.81485051483,HO3S,-H(-)
21,80.96282628253658,15304.937010071935,ClHNO2,-H(-)
22,81.04591779239422,649.6587471232418,C4H6N2,-H(-)
23,83.02491031300512,436.45255434961115,C3H4N2O,-H(-)
24,83.05037664398483,2287.622278881519,C5H8O,-H(-)
25,84.04555549416744,1306.4393517501665,C4H7NO,-H(-)
26,84.08191842378524,382.0136660129105,C5H11N,-H(-)
27,85.02947572459898,14305.986559280576,C4H6O2,-H(-)
28,86.02489684480734,1295.5752461318114,C3H5NO2,-H(-)
29,87.00846182038198,7749.285943027198,C3H4O3,-H(-)
30,88.04039795064432,15191.439689971976,C3H7NO2,-H(-)
31,89.02424555840807,55647.89998801601,C3H6O3,-H(-)
32,89.04295739218719,4152.91297942079,C4H10S,-H(-)
33,90.01893983433757,1170.3618790677679,C2H5NO3,-H(-)
34,91.0553279338899,4153.235747694398,C7H8,-H(-)
35,92.05049317176622,1974.0469916440322,C6H7N,-H(-)
36,93.04596868084974,42662.76802872413,C5H6N2,-H(-)
37,94.02984096628721,10296.15213896302,C5H5NO,-H(-)
38,94.98074621955425,330019.02487769787,H4O4Si,-H(-)
39,95.01370661654137,10232.820916875004,C5H4O2,-H(-)
40,95.05032016058512,3410.163625763828,C6H8O,-H(-)
41,96.96938132346327,557104.9730660971,H3O4P,-H(-)
42,97.0650586183969,9778.169737561262,C6H10O,-H(-)
43,98.02473853478496,5960.482048633094,C4H5NO2,-H(-)
44,99.04534284916194,21565.688648832078,C5H8O2,-H(-)
45,100.02263640240947,3580.4705900512877,C4H7NS,-H(-)
46,100.0405082130569,6886.978153168561,C4H7NO2,-H(-)
47,101.02455288731228,39765.548057553984,C4H6O3,-H(-)
48,101.04316437986918,6889.198037369604,C5H10S,-H(-)
49,101.04874726328758,5025.221219723471,C4H8NO2,-H(-)
50,101.06102486948248,11877.212525035968,C5H10O2,-H(-)
51,102.03832235711168,2597.561597372696,C4H9NS,-H(-)
52,102.0560946217517,90788.46743237403,C4H9NO2,-H(-)
53,103.02225786661771,4504.469554576495,C4H8OS,-H(-)
54,103.03988693335211,46001.76389001293,C4H8O3,-H(-)
55,104.03550640759879,64308.01063820291,C3H7NO3,-H(-)
56,105.01951170193328,12766.765633555537,C3H6O4,-H(-)
57,105.03805132535223,10178.581731889899,C4H10OS,-H(-)
58,105.07104338456557,987.4331678807539,C8H10,-H(-)
59,107.0502521659735,85303.72561791356,C7H8O,-H(-)
60,108.0453497863087,9066.395217466286,C6H7NO,-H(-)
61,109.01189744305596,5387.4508097937305,C6H6S,-H(-)
62,109.02943871901444,28514.61347593975,C6H6O2,-H(-)
63,109.04097545841195,15674.099040523857,C5H6N2O,-H(-)
64,109.06554146368318,3735.9097463826406,C7H10O,-H(-)
65,110.03616366245382,118580.90964300017,C4H5N3O,-H(-)
66,110.07249738335,20963.831934750433,C5H9N3,-H(-)
67,110.985670423247,872.0675396427906,CH5O4P,-H(-)
