sample_col_name,group_label,batch_id,merged_sample_id,sample_type
155,0,2,bioheart::128,formal_or_unknown
156,0,2,bioheart::129,formal_or_unknown
157,1,2,bioheart::130,formal_or_unknown
158,0,2,bioheart::131,formal_or_unknown
147,0,2,bioheart::132,formal_or_unknown
160,0,2,bioheart::133,formal_or_unknown
161,0,2,bioheart::134,formal_or_unknown
Pool,QC,2,bioheart::135,qc
162,0,2,bioheart::136,formal_or_unknown
154,1,2,bioheart::137,formal_or_unknown
163,0,2,bioheart::138,formal_or_unknown
164,0,2,bioheart::139,formal_or_unknown
165,0,2,bioheart::140,formal_or_unknown
166,1,2,bioheart::141,formal_or_unknown
167,1,2,bioheart::142,formal_or_unknown
169,1,2,bioheart::143,formal_or_unknown
170,0,2,bioheart::144,formal_or_unknown
171,0,2,bioheart::145,formal_or_unknown
Pool,QC,2,bioheart::146,qc
172,0,2,bioheart::147,formal_or_unknown
174,0,2,bioheart::148,formal_or_unknown
175,1,2,bioheart::149,formal_or_unknown
176,1,2,bioheart::150,formal_or_unknown
165,0,2,bioheart::151,formal_or_unknown
178,0,2,bioheart::152,formal_or_unknown
179,1,2,bioheart::153,formal_or_unknown
180,0,2,bioheart::154,formal_or_unknown
182,1,2,bioheart::155,formal_or_unknown
184,1,2,bioheart::156,formal_or_unknown
Pool,QC,2,bioheart::157,qc
185,0,2,bioheart::158,formal_or_unknown
186,1,2,bioheart::159,formal_or_unknown
174,0,2,bioheart::160,formal_or_unknown
187,0,2,bioheart::161,formal_or_unknown
188,0,2,bioheart::162,formal_or_unknown
189,0,2,bioheart::163,formal_or_unknown
190,1,2,bioheart::164,formal_or_unknown
191,0,2,bioheart::165,formal_or_unknown
192,0,2,bioheart::166,formal_or_unknown
193,0,2,bioheart::167,formal_or_unknown
Pool,QC,2,bioheart::168,qc
Pool,QC,3,bioheart::169,qc
Pool,QC,3,bioheart::170,qc
Pool,QC,3,bioheart::171,qc
160,0,3,bioheart::172,formal_or_unknown
137,0,3,bioheart::173,formal_or_unknown
117,1,3,bioheart::174,formal_or_unknown
138,1,3,bioheart::175,formal_or_unknown
192,0,3,bioheart::176,formal_or_unknown
194,0,3,bioheart::177,formal_or_unknown
195,0,3,bioheart::178,formal_or_unknown
196,1,3,bioheart::179,formal_or_unknown
204,1,3,bioheart::180,formal_or_unknown
185,0,3,bioheart::181,formal_or_unknown
Pool,QC,3,bioheart::182,qc
205,1,3,bioheart::183,formal_or_unknown
204,1,3,bioheart::184,formal_or_unknown
206,0,3,bioheart::185,formal_or_unknown
207,0,3,bioheart::186,formal_or_unknown
209,0,3,bioheart::187,formal_or_unknown
210,0,3,bioheart::188,formal_or_unknown
211,0,3,bioheart::189,formal_or_unknown
212,1,3,bioheart::190,formal_or_unknown
213,1,3,bioheart::191,formal_or_unknown
215,0,3,bioheart::192,formal_or_unknown
Pool,QC,3,bioheart::193,qc
205,1,3,bioheart::194,formal_or_unknown
217,0,3,bioheart::195,formal_or_unknown
218,0,3,bioheart::196,formal_or_unknown
219,1,3,bioheart::197,formal_or_unknown
221,0,3,bioheart::198,formal_or_unknown
222,1,3,bioheart::199,formal_or_unknown
223,0,3,bioheart::200,formal_or_unknown
224,1,3,bioheart::201,formal_or_unknown
225,0,3,bioheart::202,formal_or_unknown
226,0,3,bioheart::203,formal_or_unknown
Pool,QC,3,bioheart::204,qc
227,1,3,bioheart::205,formal_or_unknown
228,1,3,bioheart::206,formal_or_unknown
132,1,3,bioheart::207,formal_or_unknown
229,0,3,bioheart::208,formal_or_unknown
