sample_col_name,INDEX,FILE_NAME,FILE_CODE,SAMPLE_NAME,LABEL,SEQUENCE,sample_type,batch_id,group_label
001 / burnin,1,20200219_Harm2_4GHz_0001.d,20200318234327416-2489535,burnin1,burnin,P001:001 seq1 control,burnin,Batch4_0219 DATA,burnin
002 / burnin,2,20200219_Harm2_4GHz_0002.d,20200318234328560-2489536,burnin2,burnin,P001:002 seq1 control,burnin,Batch4_0219 DATA,burnin
003 / burnin,3,20200219_Harm2_4GHz_0003.d,20200318234329665-2489537,burnin3,burnin,P001:003 seq1 control,burnin,Batch4_0219 DATA,burnin
004 / burnin,4,20200219_Harm2_4GHz_0004.d,20200318234330841-2489538,burnin4,burnin,P001:004 seq1 control,burnin,Batch4_0219 DATA,burnin
005 / burnin,5,20200219_Harm2_4GHz_0005.d,20200318234331973-2489539,burnin5,burnin,P001:005 seq1 control,burnin,Batch4_0219 DATA,burnin
006 / water,6,20200219_Harm2_4GHz_0006.d,20200318234332975-2489540,ctrl_p01_c1,water,P001:006 seq1 control,water,Batch4_0219 DATA,water
007 / water,7,20200219_Harm2_4GHz_0007.d,20200318234333981-2489541,ctrl_p01_c2,water,P001:007 seq1 control,water,Batch4_0219 DATA,water
008 / P1_Bio_0004,8,20200219_Harm2_4GHz_0008.d,20200318234335042-2489542,20200219_Plate1_032,P1_Bio_0004,P001:008 seq1,formal_or_unknown,Batch4_0219 DATA,P1_Bio_0004
009 / P1_Bio_0004,9,20200219_Harm2_4GHz_0009.d,20200318234336229-2489543,20200219_Plate1_032,P1_Bio_0004,P001:009 seq1,formal_or_unknown,Batch4_0219 DATA,P1_Bio_0004
010 / P1_Bio_0004,10,20200219_Harm2_4GHz_0010.d,20200318234337466-2489544,20200219_Plate1_032,P1_Bio_0004,P001:010 seq1,formal_or_unknown,Batch4_0219 DATA,P1_Bio_0004
011 / water,11,20200219_Harm2_4GHz_0011.d,20200318234338695-2489545,ctrl_p01_c1,water,P001:011 seq1 control,water,Batch4_0219 DATA,water
012 / water,12,20200219_Harm2_4GHz_0012.d,20200318234339860-2489546,ctrl_p01_c2,water,P001:012 seq1 control,water,Batch4_0219 DATA,water
013 / P1_Bio_0512,13,20200219_Harm2_4GHz_0013.d,20200318234340878-2489547,20200219_Plate1_040,P1_Bio_0512,P001:013 seq1,formal_or_unknown,Batch4_0219 DATA,P1_Bio_0512
014 / P1_Bio_0512,14,20200219_Harm2_4GHz_0014.d,20200318234341969-2489548,20200219_Plate1_040,P1_Bio_0512,P001:014 seq1,formal_or_unknown,Batch4_0219 DATA,P1_Bio_0512
015 / P1_Bio_0512,15,20200219_Harm2_4GHz_0015.d,20200318234343056-2489549,20200219_Plate1_040,P1_Bio_0512,P001:015 seq1,formal_or_unknown,Batch4_0219 DATA,P1_Bio_0512
016 / water,16,20200219_Harm2_4GHz_0016.d,20200318234344060-2489550,ctrl_p01_c1,water,P001:016 seq1 control,water,Batch4_0219 DATA,water
017 / P1_Full_0064,17,20200219_Harm2_4GHz_0017.d,20200318234345056-2489551,20200219_Plate1_022,P1_Full_0064,P001:018 seq1,formal_or_unknown,Batch4_0219 DATA,P1_Full_0064
018 / P1_Full_0064,18,20200219_Harm2_4GHz_0018.d,20200318234346143-2489552,20200219_Plate1_022,P1_Full_0064,P001:019 seq1,formal_or_unknown,Batch4_0219 DATA,P1_Full_0064
