ionIdx,ionMz,ionAverageInt,Top annotation formula,Top annotation ion
1,57.0342086708033,8881.573129877708,C3H6O,-H(-)
2,59.01349172078637,70681.77920785797,C2H4O2,-H(-)
3,67.02998268183609,3200.6516735500954,C3H4N2,-H(-)
4,68.05050409891268,805.6542322425337,C4H7N,-H(-)
5,69.03438701413927,2362.6265923944516,C4H6O,-H(-)
6,70.02980945334714,3506.8474340791554,C3H5NO,-H(-)
7,71.01378095915769,15608.1381971674,C3H4O2,-H(-)
8,71.05010700999976,1687.1819673459077,C4H8O,-H(-)
9,72.99308875210707,1240.6556760650283,C2H2O3,-H(-)
10,73.02950953765803,7391.535414699534,C3H6O2,-H(-)
11,73.03975668056255,1966.8993990425286,C2H6N2O,-H(-)
12,74.02469018098479,28460.430231592836,C2H5NO2,-H(-)
13,75.00874740501011,2182.9270574041325,C2H4O3,-H(-)
14,75.02803400536646,705.5080357075725,C3H8S,-H(-)
15,77.03942913844949,1590.4773396128105,C6H6,-H(-)
16,79.95747651114907,12590.995549073381,HO3S,-H(-)
17,81.04600876294982,667.5173446019548,C4H6N2,-H(-)
18,83.05059449265732,3412.461036564886,C5H8O,-H(-)
19,84.04554265017683,1065.447425791738,C4H7NO,-H(-)
20,85.02967022586317,12778.513605959313,C4H6O2,-H(-)
21,86.02482465499436,3289.2194935671796,C3H5NO2,-H(-)
22,87.05652636914148,1752.098830468466,C3H8N2O,-H(-)
23,88.04059115228478,78043.45117564558,C3H7NO2,-H(-)
24,89.02455980353513,475263.79086482583,C3H6O3,-H(-)
25,90.0190815087201,4761.939119219883,C2H5NO3,-H(-)
26,91.02224978987806,2827.5272586956644,C3H8OS,-H(-)
27,91.05530407967468,11289.694498416213,C7H8,-H(-)
28,92.05068819165794,3409.217714831118,C6H7N,-H(-)
29,93.04599181907693,91651.22474336847,C5H6N2,-H(-)
30,94.03007392543695,12471.60465535747,C5H5NO,-H(-)
31,94.98091846174314,118944.2744840116,H4O4Si,-H(-)
32,95.01371212556718,9560.209929954353,C5H4O2,-H(-)
33,95.05044933207922,7273.075642010912,C6H8O,-H(-)
34,96.04538601567944,1681.9861712183754,C5H7NO,-H(-)
35,96.9692058411847,918303.3862922423,H3O4P,-H(-)
36,98.0249373059181,6769.204312861104,C4H5NO2,-H(-)
37,99.00879070050001,29634.091530968402,C4H4O3,-H(-)
38,99.04525145124734,28491.322422674413,C5H8O2,-H(-)
39,99.08160306046027,3489.8618829656557,C6H12O,-H(-)
40,100.02267215819793,3641.0608892576697,C4H7NS,-H(-)
41,100.04055713473778,6920.870228334511,C4H7NO2,-H(-)
42,101.02458736257448,29892.477621843187,C4H6O3,-H(-)
43,101.04985821630738,4319.614375317383,C4H8NO2,-H(-)
44,101.06100337612602,14599.365195298878,C5H10O2,-H(-)
45,102.05627869285902,100386.38764687597,C4H9NO2,-H(-)
46,103.02236052700839,5471.715346044211,C4H8OS,-H(-)
47,103.04016217263747,45989.82568174794,C4H8O3,-H(-)
48,104.03546129960289,81744.52911873501,C3H7NO3,-H(-)
49,105.01949508544608,9570.183937400077,C3H6O4,-H(-)
50,105.03808293207301,12380.171195309438,C4H10OS,-H(-)
51,105.07090632485071,1358.997141565864,C8H10,-H(-)
52,107.01309563153409,1418.0091986687419,C6H4O2,-H(-)
53,107.05036768151686,87259.34370709941,C7H8O,-H(-)
54,108.04582854846483,9891.672098607829,C6H7NO,-H(-)
55,109.01172955461027,7017.1287076484095,C6H6S,-H(-)
56,109.02965350685963,29795.100241771885,C6H6O2,-H(-)
57,109.04094675586276,15595.476190779425,C5H6N2O,-H(-)
58,109.06569551702664,8019.6418669910445,C7H10O,-H(-)
59,110.03634440328487,150977.3394041093,C4H5N3O,-H(-)
60,110.07272764050566,27521.055810006514,C5H9N3,-H(-)
61,110.98565713430719,2260.051232155379,CH5O4P,-H(-)
62,111.02026073764412,130803.17430022954,C4H4N2O2,-H(-)
63,112.02354333548797,7677.512963095658,C5H7NS,-H(-)
64,112.05184785090998,70479.67759494633,C4H7N3O,-H(-)
65,113.02473125445039,45768.542790184416,C5H6O3,-H(-)
66,113.03592120095482,69167.88918392589,C4H6N2O2,-H(-)
67,113.0708883588235,10601.801992923602,C5H10N2O,-H(-)
68,113.09837832336683,1516.5110836266806,C7H14O,-H(-)
69,114.05616398794321,640681.7768217683,C5H9NO2,-H(-)
70,115.00389445145079,20745.86283241792,C4H4O4,-H(-)
71,115.08669167421358,7366.158958079066,C5H12N2O,-H(-)
72,116.0509893261148,291661.06626554945,C8H7N,-H(-)
73,116.07192701155712,1565705.1552399711,C5H11NO2,-H(-)
74,117.01968252231539,31167.164908736842,C4H6O4,-H(-)
75,117.06785774943722,26743.684491347485,C4H10N2O2,-H(-)
76,117.07526482759303,85919.56014148115,C6H14S,-H(-)
