ionIdx,ionMz,ionAverageInt,mz delta,formula,ion,label (bona fide),HMDB ids,KEGG ids,other ids
1,57.0342086708033,8881.573129877708,0.000379429196698311,C3H6O,-H(-),Acetone,HMDB0001659; HMDB0003366; HMDB0031652; HMDB01659; HMDB03366; HMDB31652,C00207; C00479; C02001,CHEBI:15347; CHEBI:16605; CHEBI:17153
2,59.01349172078637,70681.77920785797,0.0003609792136316514,C2H4O2,-H(-),Acetatic acid,HMDB0000042; HMDB0003344; HMDB00042; HMDB02165; HMDB03344,C00033; C00266,CHEBI:15366; CHEBI:17071
3,67.02998268183609,3200.6516735500954,0.0001888181639060349,C3H4N2,-H(-),Imidazole,HMDB0001525; HMDB01525,C01589,CHEBI:16069
4,68.05050409891268,805.6542322425337,6.840108731864802e-05,C4H7N,-H(-),1-Pyrrolinium,HMDB0060246; HMDB60246,,
5,69.03438701413927,2362.6265923944516,0.00020108586072353773,C4H6O,-H(-),Butynol,HMDB0034233; HMDB0061873; HMDB0061874; HMDB34233; HMDB61873; HMDB61874,,; CHEBI:48058
6,70.02980945334714,3506.8474340791554,2.764665285326373e-05,C3H5NO,-H(-),Acrylamide,HMDB0004296; HMDB04296,C01659,CHEBI:28619
7,71.01378095915769,15608.1381971674,7.174084231564848e-05,C3H4O2,-H(-),Propenoic acid C3:1,HMDB0001167; HMDB0006112; HMDB0031647; HMDB01167; HMDB06112; HMDB31647,C00511; C00546; C19440,CHEBI:17158; CHEBI:18308; CHEBI:566274
8,71.05010700999976,1687.1819673459077,0.0001310900002380322,C4H8O,-H(-),Butanal,HMDB0000246; HMDB0000474; HMDB0003543; HMDB00246; HMDB0031243; HMDB0031324; HMDB0034431; HMDB00474; HMDB03543; HMDB31243; HMDB31324; HMDB34431,C01412; C02845; C03219,; CHEBI:15743; CHEBI:26911; CHEBI:28398; CHEBI:48943
9,72.99308875210707,1240.6556760650283,2.854789292427995e-05,C2H2O3,-H(-),Glyoxylic acid,HMDB0000119; HMDB00119,C00048,CHEBI:16891
9,72.99308875210707,1240.6556760650283,-3.150113050764958e-05,C2H3NS,-H(-) [+1],Methyl isothiocyanate,HMDB0034106; HMDB34106,C18587,CHEBI:78337
10,73.02950953765803,7391.535414699534,-6.837658034442029e-06,C3H6O2,-H(-),C3:0 (Propionic acid),HMDB0000237; HMDB0003052; HMDB0003453; HMDB0006458; HMDB00237; HMDB0031523; HMDB03052; HMDB03453; HMDB06458; HMDB06949; HMDB31523,C00163; C00424; C00937; C00969; C17530,; CHEBI:17167; CHEBI:17871; CHEBI:18041; CHEBI:30768
