merged_sample_id,"11,12-EET",12(13)-DiHOME,"12,13-EpOME",12-HETE,13(S)-HODE,14(15)-EpETE,"14,15-EET",20-HETE,"5,6-EET",6keto-PGF1,9-HODE,LTB4,LXA4,RvD1
mi::0,-2.123467459568243,5.0864427056052035,11.69501137567456,4.207693263322542,12.48517712705543,10.03724725900755,4.628074762967693,8.892218342197342,4.666406695434775,1.9492070337231082,5.645078460581302,13.817500184083888,4.3086877737991,-4.392470443538793
mi::1,13.663569713291112,14.242478054187895,14.747112981629844,11.11056672917059,17.71847196786121,8.152119579487533,11.268707373858101,13.462142249901218,4.25978985880409,6.1808370118338365,15.254501559671402,13.444947392025512,2.930666563055934,5.881489989282503
mi::2,10.128074404753137,7.210745171357437,15.918941836314135,12.20406757698281,8.99954892277429,13.049236553968356,1.6533053888595148,19.29131383484101,9.071862674182986,4.146696941354562,10.775421849649168,13.957599619225569,7.703295654228906,4.721254509737135
mi::3,13.61793424057856,6.445284684111243,6.718682686766883,4.588587453714582,11.467027446458422,9.965627838782424,12.123464285842347,22.94348294400448,5.312591407821702,2.8717494173231133,15.31844648234402,11.788794906782536,4.943715569196438,2.7761400831200307
mi::4,5.1801885353445725,3.259178963141352,4.256949210905941,2.47091894071313,11.738013312474774,3.3199684093168607,-1.9949272490017655,16.5362602283373,-0.24693072942487682,6.518196187553375,4.232120988973886,11.023686877397619,7.703295654228906,-1.893762663299075
mi::5,12.471985173901267,9.801215958507688,10.969393519386404,5.2510178098851155,9.939002781114183,-5.34505111047341,6.974214431452351,9.821064904783649,8.833689568076068,4.514237845273158,10.359133520376338,3.870532401767843,-2.1622003857845034,2.125628211586556
mi::6,10.481462120501144,6.345547296297295,12.504676023153081,4.26323393606043,14.690712827985617,4.438908077991326,4.550497912055847,7.790967840509866,-0.7482905160302984,3.7841142121978226,12.947333275864088,4.959322624622882,5.6453046006824685,1.1694812507676016
mi::7,13.61793424057856,10.784857249642966,12.600246189183164,7.855510844865858,13.261182314237217,-4.176430947917543,16.203548186050703,7.519019937637946,3.1922949308512045,3.046606360292654,7.6674157056776036,14.490006300927739,5.148294744961464,8.829302628466586
mi::8,-0.7504985898214009,8.240870426688183,9.972922106801834,8.267847087790972,15.21083093182941,-5.5534914908425215,9.492340541812395,-3.938642222398567,-3.537321310505913,1.8144473848818015,5.575632862016058,11.455589512426798,-4.529598224172831,-0.30756133826855425
mi::9,12.96172593408981,7.665636662803152,19.656432070732055,7.194020734676155,14.954318579155597,-5.1732339155954,2.985943953371267,-6.694081869616511,11.693690783200424,3.249361027478604,12.360024952099831,16.735052396750707,-7.752211096292077,5.2268513070449805
mi::10,17.67307027208551,11.98695176236128,20.357588746569597,19.60445260559235,9.317880108042479,10.942484219018034,11.586932680627509,13.700951387439703,7.521291659624293,5.457103670773705,20.92019984604105,17.152835904651347,8.108430338327889,10.623719655279137
mi::11,20.550280346702877,14.355278159303806,15.503869119805096,15.059039815872303,12.083843446611503,14.435871617128239,19.540304321136027,6.790497963973906,9.170335064504878,7.827216909816368,21.872732774492732,6.764541710555859,6.492155289418328,10.366705317022676
mi::12,9.703341713181958,11.086482303456457,15.69817634594584,15.449260470106331,7.361277562369976,5.7664523671074654,17.907448367761596,11.630896242436446,17.99514853502499,14.163637434812024,15.875715661630212,14.093104793331737,3.9784131490464327,5.358077259858167
mi::13,19.250226905561114,5.9273058801917635,9.972922106801834,10.006027063474091,7.088326688539391,1.8977954656176106,8.849650630286689,19.140955428334536,5.236783108469007,5.3935328697179745,11.548494128298103,14.594633093635837,5.83860728007668,7.628200831749913
mi::14,8.062777870228894,12.009809495506088,7.575480584306544,14.841858574451363,16.019207677390753,12.807020100188101,14.559430449983326,5.654726626473351,5.906201160681384,6.734990894795209,27.10242322742352,3.562757291469004,11.797956781044514,4.033863474656331
mi::15,11.325274213121508,6.7193188638704875,15.949978140868033,9.124302620716136,17.25334878857778,3.4247092904235528,11.67851143218381,8.679790714558804,3.212433628115404,7.687279197019272,13.108797354255884,14.739649291324568,1.405693307252843,4.425915291811924
mi::16,30.99040908987275,10.968668138023027,10.424541658236091,13.858965355873021,9.909624843145751,5.397352784410077,15.319019647112015,9.357051627423106,5.020233692436326,11.37357495954666,16.738685327489723,17.510426420846272,5.83860728007668,18.197488199615957
mi::17,12.270834289261536,14.512559610891604,15.761889352570424,14.388892465606501,16.977006712210688,7.33705048080769,5.6517686382744,5.74595457893273,4.861525842899404,5.457103670773705,14.92828822738566,7.532690092595416,1.0850473413257014,2.0305288601418967
mi::18,13.934087287498548,7.220104490603817,13.325540954050926,10.602439585367682,12.303804071740768,4.828629419908705,9.652021743429724,7.59734094729898,5.020233692436326,2.7918564787035853,11.642095052728482,10.657736655043415,7.537421959723359,4.3112017328030525
mi::19,27.84392536640494,18.38886742473847,14.81900941809521,20.021334137373664,9.880156092255698,9.232776131968814,17.406188709740125,21.843454695369843,9.143610418728892,8.861951217195964,24.47157259567813,6.583965263211195,9.677516797213102,12.485111087054367
mi::20,32.47645353223217,13.42295793703843,7.082329456660107,23.79597740666179,12.41756596657436,7.992124839791846,26.357036832389667,15.96077320176714,8.342648901076213,12.620900774915373,22.650648177959383,9.806717371525133,5.742336461367165,17.896588281278213
mi::21,25.18941011931556,6.19931790411104,9.972922106801834,15.624137967600307,8.770218509698955,1.200130262877524,6.791941784454895,15.76273833441758,7.132156732381851,5.32942103452486,19.031626744203848,11.610384290918022,7.62063900114075,11.536220493711507
mi::22,6.5053267167822995,9.468523703027916,6.897700379121577,14.295125992615244,13.167566500513129,21.873286452770863,12.954692688899584,16.905345323939905,6.138844378828819,3.330507388710334,22.560530123912937,6.0482246663746455,18.07986572578707,1.5819757168627326
mi::23,10.128074404753137,-5.927469133733035,14.452743853780516,10.03290755151854,8.918277048025955,-7.590080175416627,6.091588540309453,10.157829459028964,13.322699978215354,0.9615484828258749,8.066252692181603,13.50301679049853,6.938548720675307,1.934373665785988
mi::24,16.517136810595545,4.87196274091013,6.4734478877478345,10.501869704271893,19.910361057921186,-0.4146235190523839,19.696753753202792,12.165564146217193,5.4470936010667454,6.351404960398708,9.812282932142367,12.384042998409152,-11.062877782315992,4.141585597882005
mi::25,23.85999474640911,9.928468722007628,12.88015653339715,15.795260578748803,11.07161673575791,13.985800074714982,10.222420159133325,19.73156211501899,8.412034242217672,8.902127832744993,23.453632408757798,12.48362703327885,14.908906926024144,9.71684451125186
mi::26,27.389521395403754,11.524520464095023,12.456450292592146,18.904357211537814,13.009467790159473,15.24967265304089,16.169722029503507,20.016461101081266,6.0302881214927515,8.143970354265779,21.905078784267644,6.36280862376353,10.942672907525889,10.26172527280781
mi::27,15.086587750285405,8.415840315281205,12.456450292592146,13.99070485428911,13.804355822597016,9.529622521392444,11.623671465586721,23.324955449759806,4.499726544515079,5.644659300490049,19.78362988105907,6.542742610277735,14.536924914908123,6.563260515487885
mi::28,2.691399355438203,13.294789998908144,8.6758423488754,11.016245421476704,11.42947073257841,4.340101557095224,15.882993925634898,7.558243401577785,2.8833515214333962,0.42178351096679645,9.74453706080669,13.120660497146936,7.537421959723359,0.4460221332652239
mi::29,16.91391221669725,12.055119597694304,6.818641388519165,10.602439585367682,12.406250673063482,19.002775288351565,11.859031372722763,27.353632763458574,1.7228612687436593,4.79588165879491,18.025403958590708,11.846593575267537,7.62063900114075,3.108104305793793
mi::30,15.369510220869218,3.30583183268101,3.3373665501011915,7.039257503582582,14.419610182977046,2.236433373281331,4.589366479081642,13.818622600528872,2.9043595159071893,4.221653719809195,14.169439051957553,10.808027302715196,1.5561343288107574,5.819972500028877
mi::31,9.200412420960001,5.132197176717286,10.548935640621696,5.0529938374174455,10.820903966686346,15.460422098001287,6.730389128919457,15.459514141092189,3.4498618117252047,2.016183281414822,9.85718507569711,14.490006300927739,12.542091692019952,3.979495769164771
mi::32,6.5053267167822995,9.54595437218195,11.027658891019598,7.890698788644049,16.399064064334535,14.0426983448586,13.328964771782903,17.69703109866707,5.751617885200668,3.9867095674024133,10.04573085812799,16.299646101325408,8.50061918429253,-0.16557870998761182
