sample_col_name,group_label,batch_id,merged_sample_id,sample_type
S281,QC,2,amide::267,qc
S282,1,2,amide::268,formal_or_unknown
S283,1,2,amide::269,formal_or_unknown
S284,1,2,amide::270,formal_or_unknown
S285,0,2,amide::271,formal_or_unknown
S286,1,2,amide::272,formal_or_unknown
S287,1,2,amide::273,formal_or_unknown
S288,1,2,amide::274,formal_or_unknown
S289,1,2,amide::275,formal_or_unknown
S290,QC,2,amide::276,qc
S291,1,2,amide::277,formal_or_unknown
S292,1,2,amide::278,formal_or_unknown
S293,1,2,amide::279,formal_or_unknown
S294,1,2,amide::280,formal_or_unknown
S295,1,2,amide::281,formal_or_unknown
S296,1,2,amide::282,formal_or_unknown
S297,0,2,amide::283,formal_or_unknown
S298,1,2,amide::284,formal_or_unknown
S299,QC,2,amide::285,qc
S300,1,2,amide::286,formal_or_unknown
S301,1,2,amide::287,formal_or_unknown
S302,1,2,amide::288,formal_or_unknown
S303,1,2,amide::289,formal_or_unknown
S304,0,2,amide::290,formal_or_unknown
S305,1,2,amide::291,formal_or_unknown
S306,1,2,amide::292,formal_or_unknown
S307,1,2,amide::293,formal_or_unknown
S308,QC,2,amide::294,qc
S309,1,2,amide::295,formal_or_unknown
S310,1,2,amide::296,formal_or_unknown
S311,1,2,amide::297,formal_or_unknown
S312,1,2,amide::298,formal_or_unknown
S313,1,2,amide::299,formal_or_unknown
S314,1,2,amide::300,formal_or_unknown
S315,1,2,amide::301,formal_or_unknown
S316,0,2,amide::302,formal_or_unknown
S317,QC,2,amide::303,qc
S318,1,2,amide::304,formal_or_unknown
S319,1,2,amide::305,formal_or_unknown
S320,0,2,amide::306,formal_or_unknown
S321,1,2,amide::307,formal_or_unknown
S322,1,2,amide::308,formal_or_unknown
S323,1,2,amide::309,formal_or_unknown
S324,1,2,amide::310,formal_or_unknown
S325,1,2,amide::311,formal_or_unknown
S326,QC,2,amide::312,qc
S327,0,2,amide::313,formal_or_unknown
S328,1,2,amide::314,formal_or_unknown
S329,1,2,amide::315,formal_or_unknown
S330,1,2,amide::316,formal_or_unknown
S331,1,2,amide::317,formal_or_unknown
S332,1,2,amide::318,formal_or_unknown
S333,1,2,amide::319,formal_or_unknown
S334,1,2,amide::320,formal_or_unknown
S335,QC,2,amide::321,qc
S336,1,2,amide::322,formal_or_unknown
S337,1,2,amide::323,formal_or_unknown
S338,1,2,amide::324,formal_or_unknown
S339,1,2,amide::325,formal_or_unknown
S340,1,2,amide::326,formal_or_unknown
S341,1,2,amide::327,formal_or_unknown
S342,1,2,amide::328,formal_or_unknown
S343,0,2,amide::329,formal_or_unknown
S344,QC,2,amide::330,qc
S345,1,2,amide::331,formal_or_unknown
S346,1,2,amide::332,formal_or_unknown
S347,1,2,amide::333,formal_or_unknown
S348,1,2,amide::334,formal_or_unknown
S349,1,2,amide::335,formal_or_unknown
S350,1,2,amide::336,formal_or_unknown
S351,1,2,amide::337,formal_or_unknown
S352,0,2,amide::338,formal_or_unknown
S353,QC,2,amide::339,qc
S354,1,2,amide::340,formal_or_unknown
S355,1,2,amide::341,formal_or_unknown
S356,1,2,amide::342,formal_or_unknown
S357,0,2,amide::343,formal_or_unknown
S358,1,2,amide::344,formal_or_unknown
S359,1,2,amide::345,formal_or_unknown
S360,1,2,amide::346,formal_or_unknown
S361,1,2,amide::347,formal_or_unknown
S362,QC,2,amide::348,qc
S363,0,2,amide::349,formal_or_unknown
S364,1,2,amide::350,formal_or_unknown
S365,1,2,amide::351,formal_or_unknown
S366,1,2,amide::352,formal_or_unknown
S368,1,2,amide::353,formal_or_unknown
S369,1,2,amide::354,formal_or_unknown
S371,QC,2,amide::355,qc
S372,0,2,amide::356,formal_or_unknown
S373,1,2,amide::357,formal_or_unknown
S374,1,2,amide::358,formal_or_unknown
S376,1,2,amide::359,formal_or_unknown
S377,1,2,amide::360,formal_or_unknown
S378,1,2,amide::361,formal_or_unknown
S379,1,2,amide::362,formal_or_unknown
S380,QC,2,amide::363,qc
S381,0,2,amide::364,formal_or_unknown
S382,1,2,amide::365,formal_or_unknown
S384,1,2,amide::366,formal_or_unknown
S385,1,2,amide::367,formal_or_unknown
S387,1,2,amide::368,formal_or_unknown
S389,QC,2,amide::369,qc
S390,1,2,amide::370,formal_or_unknown
S391,1,2,amide::371,formal_or_unknown
S392,0,2,amide::372,formal_or_unknown
S394,1,2,amide::373,formal_or_unknown
S395,1,2,amide::374,formal_or_unknown
S396,1,2,amide::375,formal_or_unknown
S397,1,2,amide::376,formal_or_unknown
S398,QC,2,amide::377,qc
S399,1,2,amide::378,formal_or_unknown
S400,1,2,amide::379,formal_or_unknown
S402,1,2,amide::380,formal_or_unknown
S407,QC,2,amide::381,qc
S408,1,2,amide::382,formal_or_unknown
S409,1,2,amide::383,formal_or_unknown
S410,1,2,amide::384,formal_or_unknown
S411,1,2,amide::385,formal_or_unknown
S412,1,2,amide::386,formal_or_unknown
S413,1,2,amide::387,formal_or_unknown
S414,0,2,amide::388,formal_or_unknown
S415,1,2,amide::389,formal_or_unknown
S416,QC,2,amide::390,qc
S417,1,2,amide::391,formal_or_unknown
S418,1,2,amide::392,formal_or_unknown
S419,0,2,amide::393,formal_or_unknown
S422,1,2,amide::394,formal_or_unknown
S423,1,2,amide::395,formal_or_unknown
S425,QC,2,amide::396,qc
S426,0,2,amide::397,formal_or_unknown
S429,1,2,amide::398,formal_or_unknown
S433,1,2,amide::399,formal_or_unknown
S435,QC,3,amide::400,qc
S437,1,3,amide::401,formal_or_unknown
S438,1,3,amide::402,formal_or_unknown
S439,1,3,amide::403,formal_or_unknown
S440,1,3,amide::404,formal_or_unknown
S441,1,3,amide::405,formal_or_unknown
S442,1,3,amide::406,formal_or_unknown
S443,0,3,amide::407,formal_or_unknown
S444,QC,3,amide::408,qc
S445,0,3,amide::409,formal_or_unknown
S446,1,3,amide::410,formal_or_unknown
S447,1,3,amide::411,formal_or_unknown
S448,1,3,amide::412,formal_or_unknown
S449,1,3,amide::413,formal_or_unknown
S450,1,3,amide::414,formal_or_unknown
S451,1,3,amide::415,formal_or_unknown
S452,1,3,amide::416,formal_or_unknown
S453,QC,3,amide::417,qc
S455,1,3,amide::418,formal_or_unknown
S456,1,3,amide::419,formal_or_unknown
S458,1,3,amide::420,formal_or_unknown
S459,1,3,amide::421,formal_or_unknown
S460,0,3,amide::422,formal_or_unknown
S461,QC,3,amide::423,qc
S462,1,3,amide::424,formal_or_unknown
S463,1,3,amide::425,formal_or_unknown
S464,1,3,amide::426,formal_or_unknown
S465,1,3,amide::427,formal_or_unknown
S466,1,3,amide::428,formal_or_unknown
S467,1,3,amide::429,formal_or_unknown
S468,0,3,amide::430,formal_or_unknown
S469,QC,3,amide::431,qc
S470,1,3,amide::432,formal_or_unknown
S471,1,3,amide::433,formal_or_unknown
S472,0,3,amide::434,formal_or_unknown
S473,1,3,amide::435,formal_or_unknown
S474,1,3,amide::436,formal_or_unknown
S475,1,3,amide::437,formal_or_unknown
S476,1,3,amide::438,formal_or_unknown
S477,0,3,amide::439,formal_or_unknown
S478,1,3,amide::440,formal_or_unknown
S479,1,3,amide::441,formal_or_unknown
S480,1,3,amide::442,formal_or_unknown
S481,1,3,amide::443,formal_or_unknown
S482,1,3,amide::444,formal_or_unknown
S483,1,3,amide::445,formal_or_unknown
S484,QC,3,amide::446,qc
S485,1,3,amide::447,formal_or_unknown
S486,1,3,amide::448,formal_or_unknown
S487,1,3,amide::449,formal_or_unknown
S488,1,3,amide::450,formal_or_unknown
S489,1,3,amide::451,formal_or_unknown
S490,1,3,amide::452,formal_or_unknown
S491,1,3,amide::453,formal_or_unknown
S492,0,3,amide::454,formal_or_unknown
S493,QC,3,amide::455,qc
S494,0,3,amide::456,formal_or_unknown
S495,1,3,amide::457,formal_or_unknown
S496,1,3,amide::458,formal_or_unknown
S497,1,3,amide::459,formal_or_unknown
S498,1,3,amide::460,formal_or_unknown
S499,1,3,amide::461,formal_or_unknown
S500,1,3,amide::462,formal_or_unknown
S501,1,3,amide::463,formal_or_unknown
S502,QC,3,amide::464,qc
S503,1,3,amide::465,formal_or_unknown
S504,1,3,amide::466,formal_or_unknown
S505,1,3,amide::467,formal_or_unknown
S506,1,3,amide::468,formal_or_unknown
S507,0,3,amide::469,formal_or_unknown
S508,1,3,amide::470,formal_or_unknown
S509,1,3,amide::471,formal_or_unknown
S510,1,3,amide::472,formal_or_unknown
S511,QC,3,amide::473,qc
S512,1,3,amide::474,formal_or_unknown
S514,1,3,amide::475,formal_or_unknown
S515,1,3,amide::476,formal_or_unknown
S516,1,3,amide::477,formal_or_unknown
S517,1,3,amide::478,formal_or_unknown
S518,1,3,amide::479,formal_or_unknown
S519,0,3,amide::480,formal_or_unknown
S520,QC,3,amide::481,qc
S521,1,3,amide::482,formal_or_unknown
S522,1,3,amide::483,formal_or_unknown
S523,1,3,amide::484,formal_or_unknown
S524,1,3,amide::485,formal_or_unknown
S525,1,3,amide::486,formal_or_unknown
S526,1,3,amide::487,formal_or_unknown
S527,1,3,amide::488,formal_or_unknown
S528,0,3,amide::489,formal_or_unknown
S529,QC,3,amide::490,qc
S530,1,3,amide::491,formal_or_unknown
S531,1,3,amide::492,formal_or_unknown
S532,1,3,amide::493,formal_or_unknown
S533,1,3,amide::494,formal_or_unknown
S534,1,3,amide::495,formal_or_unknown
S535,1,3,amide::496,formal_or_unknown
S536,0,3,amide::497,formal_or_unknown
S537,QC,3,amide::498,qc
S538,1,3,amide::499,formal_or_unknown
S539,1,3,amide::500,formal_or_unknown
S540,1,3,amide::501,formal_or_unknown
S541,0,3,amide::502,formal_or_unknown
S542,1,3,amide::503,formal_or_unknown
S543,1,3,amide::504,formal_or_unknown
S544,1,3,amide::505,formal_or_unknown
S545,QC,3,amide::506,qc
S546,1,3,amide::507,formal_or_unknown
S547,1,3,amide::508,formal_or_unknown
S548,1,3,amide::509,formal_or_unknown
S549,0,3,amide::510,formal_or_unknown
S550,1,3,amide::511,formal_or_unknown
S551,1,3,amide::512,formal_or_unknown
S552,1,3,amide::513,formal_or_unknown
S553,QC,3,amide::514,qc
S554,1,3,amide::515,formal_or_unknown
S555,1,3,amide::516,formal_or_unknown
S556,1,3,amide::517,formal_or_unknown
S557,1,3,amide::518,formal_or_unknown
S558,1,3,amide::519,formal_or_unknown
S559,1,3,amide::520,formal_or_unknown
S560,1,3,amide::521,formal_or_unknown
S561,0,3,amide::522,formal_or_unknown
S562,QC,3,amide::523,qc
S563,0,3,amide::524,formal_or_unknown
S564,1,3,amide::525,formal_or_unknown
S565,1,3,amide::526,formal_or_unknown
S566,1,3,amide::527,formal_or_unknown
S567,1,3,amide::528,formal_or_unknown
S568,1,3,amide::529,formal_or_unknown
S569,1,3,amide::530,formal_or_unknown
S570,1,3,amide::531,formal_or_unknown
S571,QC,3,amide::532,qc
S572,1,3,amide::533,formal_or_unknown
S573,1,3,amide::534,formal_or_unknown
S574,1,3,amide::535,formal_or_unknown
S575,1,3,amide::536,formal_or_unknown
S576,1,3,amide::537,formal_or_unknown
S577,1,3,amide::538,formal_or_unknown
S579,0,3,amide::539,formal_or_unknown
S580,1,3,amide::540,formal_or_unknown
S581,1,3,amide::541,formal_or_unknown
S582,1,3,amide::542,formal_or_unknown
S583,1,3,amide::543,formal_or_unknown
S584,1,3,amide::544,formal_or_unknown
S586,1,3,amide::545,formal_or_unknown
S587,QC,3,amide::546,qc
S588,1,3,amide::547,formal_or_unknown
S589,1,3,amide::548,formal_or_unknown
S590,1,3,amide::549,formal_or_unknown
S591,1,3,amide::550,formal_or_unknown
S592,1,3,amide::551,formal_or_unknown
S593,1,3,amide::552,formal_or_unknown
S594,1,3,amide::553,formal_or_unknown
S595,0,3,amide::554,formal_or_unknown
S596,QC,3,amide::555,qc
S597,1,3,amide::556,formal_or_unknown
S598,1,3,amide::557,formal_or_unknown
S599,1,3,amide::558,formal_or_unknown
S600,1,3,amide::559,formal_or_unknown
S601,1,3,amide::560,formal_or_unknown
S602,1,3,amide::561,formal_or_unknown
S603,QC,3,amide::562,qc
S604,1,3,amide::563,formal_or_unknown
S605,1,3,amide::564,formal_or_unknown
S606,1,3,amide::565,formal_or_unknown
S607,1,3,amide::566,formal_or_unknown
S608,1,3,amide::567,formal_or_unknown
S609,1,3,amide::568,formal_or_unknown
S610,1,3,amide::569,formal_or_unknown
S611,QC,3,amide::570,qc
S612,1,3,amide::571,formal_or_unknown
S613,1,3,amide::572,formal_or_unknown
S614,1,3,amide::573,formal_or_unknown
S615,1,3,amide::574,formal_or_unknown
S616,1,3,amide::575,formal_or_unknown
S617,0,3,amide::576,formal_or_unknown
S618,1,3,amide::577,formal_or_unknown
S619,1,3,amide::578,formal_or_unknown
S620,QC,3,amide::579,qc
S621,1,3,amide::580,formal_or_unknown
S622,0,3,amide::581,formal_or_unknown
S623,1,3,amide::582,formal_or_unknown
S624,1,3,amide::583,formal_or_unknown
S625,1,3,amide::584,formal_or_unknown
S626,1,3,amide::585,formal_or_unknown
S627,1,3,amide::586,formal_or_unknown
S628,1,3,amide::587,formal_or_unknown
S629,QC,3,amide::588,qc
S631,1,3,amide::589,formal_or_unknown
S633,0,3,amide::590,formal_or_unknown
S634,1,3,amide::591,formal_or_unknown
S635,1,3,amide::592,formal_or_unknown
S636,QC,3,amide::593,qc
S637,1,3,amide::594,formal_or_unknown
S638,1,3,amide::595,formal_or_unknown
S639,1,3,amide::596,formal_or_unknown
S642,QC,3,amide::597,qc
