ionIdx,ionMz,ionAverageInt,mz delta,formula,ion,label (bona fide),HMDB ids,KEGG ids,other ids
1,57.034094991128626,11188.862364777933,0.000493108871374659,C3H6O,-H(-),Acetone,HMDB0001659; HMDB0003366; HMDB0031652; HMDB01659; HMDB03366; HMDB31652,C00207; C00479; C02001,CHEBI:15347; CHEBI:16605; CHEBI:17153
2,59.01338175712169,49562.44032970897,0.00047094287830873327,C2H4O2,-H(-),Acetatic acid,HMDB0000042; HMDB0003344; HMDB00042; HMDB02165; HMDB03344,C00033; C00266,CHEBI:15366; CHEBI:17071
3,66.0347182776777,556.89955430811,0.0002042223222957773,C4H5N,-H(-),3-Butenenitrile,HMDB0031323; HMDB0035924; HMDB31323; HMDB35924,C19907,; CHEBI:19203
4,67.01862969049921,900.9684220120581,0.0003084095007892529,C4H4O,-H(-),Butynal,HMDB0006853; HMDB06853; HMDB06945,C06145,CHEBI:28180
5,67.02992156125384,2241.8235187665077,0.0002499387461512015,C3H4N2,-H(-),Imidazole,HMDB0001525; HMDB01525,C01589,CHEBI:16069
6,68.05029093851849,639.4543723336312,0.00028156148151481375,C4H7N,-H(-),1-Pyrrolinium,HMDB0060246; HMDB60246,,
7,69.03445763670263,2302.6662849498707,0.0001304632973671005,C4H6O,-H(-),Butynol,HMDB0034233; HMDB0061873; HMDB0061874; HMDB34233; HMDB61873; HMDB61874,,; CHEBI:48058
8,70.02961094596886,14816.188970307698,0.0002261540311394583,C3H5NO,-H(-),Acrylamide,HMDB0004296; HMDB04296,C01659,CHEBI:28619
9,71.01368501716642,13239.414978319122,0.00016768283357748714,C3H4O2,-H(-),Propenoic acid C3:1,HMDB0001167; HMDB0006112; HMDB0031647; HMDB01167; HMDB06112; HMDB31647,C00511; C00546; C19440,CHEBI:17158; CHEBI:18308; CHEBI:566274
10,72.9930038943789,969.88020474303,0.0001134056210929657,C2H2O3,-H(-),Glyoxylic acid,HMDB0000119; HMDB00119,C00048,CHEBI:16891
10,72.9930038943789,969.88020474303,5.3356597661036176e-05,C2H3NS,-H(-) [+1],Methyl isothiocyanate,HMDB0034106; HMDB34106,C18587,CHEBI:78337
11,73.02924648102228,9998.793276582845,0.000256218977710887,C3H6O2,-H(-),C3:0 (Propionic acid),HMDB0000237; HMDB0003052; HMDB0003453; HMDB0006458; HMDB00237; HMDB0031523; HMDB03052; HMDB03453; HMDB06458; HMDB06949; HMDB31523,C00163; C00424; C00937; C00969; C17530,; CHEBI:17167; CHEBI:17871; CHEBI:18041; CHEBI:30768
12,74.02460660151048,19831.36302663414,0.00014509848951149706,C2H5NO2,-H(-),Glycine,HMDB0000123; HMDB00123; HMDB0014691; HMDB0031239; HMDB14691; HMDB31239,C00037; C06808,; CHEBI:15428; CHEBI:27777
13,75.00857609862585,1849.3610396845538,0.00019120137415029603,C2H4O3,-H(-),Glycolate,HMDB0000115; HMDB00115; HMDB0031608; HMDB03035; HMDB31608,C00160,; CHEBI:17497
13,75.00857609862585,1849.3610396845538,-0.0007864868094458188,C3H6S,-H(-) [+2],2-Propene-1-thiol,HMDB0031635; HMDB31635,,
14,75.02796626689911,510.58589462356923,-0.0005720668991102684,C3H8S,-H(-),Ethyl methyl sulfide,HMDB0031238; HMDB0031634; HMDB0034238; HMDB31238; HMDB31634; HMDB34238,C08390; C08391,; CHEBI:8473; CHEBI:8474
14,75.02796626689911,510.58589462356923,-0.0006988108444261343,C2H5NO2,-H(-) [+1],Glycine,HMDB0000123; HMDB00123; HMDB0014691; HMDB0031239; HMDB14691; HMDB31239,C00037; C06808,; CHEBI:15428; CHEBI:27777
15,76.97912329422742,4895.992819592864,0.0008425057725673923,C2H3ClO,-H(-),Chloroacetaldehyde,HMDB0013860; HMDB13860,,; CHEBI:27871
16,77.03946730500486,1276.2712096449382,0.00020619499512974926,C6H6,-H(-),Benzene,HMDB0001505; HMDB01505,C01407,CHEBI:16716
17,79.95731632766194,10368.926555283297,4.667233804411808e-05,HO3S,-H(-),Hydrogen sulfite,HMDB0001033; HMDB01033; HMDB03008,C11481,CHEBI:17137
18,81.03445529902439,1110.7317025398852,0.00013280097560652848,C5H6O,-H(-),2-Methylfuran,HMDB0013749; HMDB0031597; HMDB13749; HMDB31597,,; CHEBI:969439
19,81.04580615471771,553.048714040273,1.53452822928557e-05,C4H6N2,-H(-),Fomepizole,HMDB0015344; HMDB15344,C07837,CHEBI:5141
20,83.01263717434911,2467.919949172743,0.001215525650891891,C4H4O2,-H(-),Hydroxybutynal,HMDB0032330; HMDB0094691; HMDB32330; HMDB94691,C17601,; CHEBI:38118; CHEBI:38120
21,83.05027606316246,2805.5273193926173,-3.79631624554122e-05,C5H8O,-H(-),Methyl propenyl ketone,HMDB0001184; HMDB0012157; HMDB0031407; HMDB0031512; HMDB0031530; HMDB0031601; HMDB0031606; HMDB0031607; HMDB0032458; HMDB0037788; HMDB0040584; HMDB01184; HMDB12157; HMDB31407; HMDB31512; HMDB31530; HMDB31601; HMDB31606; HMDB31607; HMDB32458; HMDB37788; HMDB40584,C00557; C07330,; CHEBI:15825; CHEBI:16486; CHEBI:51678; CHEBI:51679; CHEBI:87508; CHEBI:88419
22,84.04541281091942,1318.3258921498134,7.428908058670913e-05,C4H7NO,-H(-),Acetone cyanohydrin,HMDB0002039; HMDB0060427; HMDB02039; HMDB60427,C11118,; CHEBI:15348; CHEBI:36592
23,85.02947892739986,12010.871324762506,2.377260013020077e-05,C4H6O2,-H(-),Succinic aldehyde,HMDB0000549; HMDB0002523; HMDB0003407; HMDB0010720; HMDB0031209; HMDB0033977; HMDB0034439; HMDB00549; HMDB02523; HMDB03407; HMDB10720; HMDB31209; HMDB33977; HMDB34439,C00741; C01770; C01771; C19309; C19443,; CHEBI:16583; CHEBI:36253; CHEBI:41131; CHEBI:42639; CHEBI:46916
24,86.0248005110103,3043.4745491593785,-4.8811010302074465e-05,C3H5NO2,-H(-),Dehydroalanine,HMDB0003609; HMDB0039426; HMDB03609; HMDB06356; HMDB39426,C02218,; CHEBI:17123
25,87.04517121825556,5968.946867015213,-1.8518255558319652e-05,C4H8O2,-H(-),C4:0 (Butyric acid),HMDB0000039; HMDB0001873; HMDB0003243; HMDB00039; HMDB0030062; HMDB0031217; HMDB0031507; HMDB0040253; HMDB0040579; HMDB01873; HMDB03151; HMDB03243; HMDB30062; HMDB31217; HMDB31507; HMDB40253; HMDB40579,C00246; C00466; C00849; C02632,; CHEBI:15688; CHEBI:16135; CHEBI:27750; CHEBI:30772
26,87.05628345211811,1616.2788209561636,0.00010264788188862894,C3H8N2O,-H(-),Dimethylurea,HMDB0029198; HMDB29198,C16364,CHEBI:80472
27,88.04049792370753,76284.45294946402,-9.622370754414078e-05,C3H7NO2,-H(-),Alanine,HMDB0000056; HMDB0000161; HMDB0000271; HMDB0001310; HMDB00056; HMDB00161; HMDB00271; HMDB0031219; HMDB0062251; HMDB01310; HMDB31219; HMDB62251,C00041; C00099; C00133; C00213; C01401; C01537,CHEBI:15570; CHEBI:15611; CHEBI:16449; CHEBI:16958; CHEBI:16977; CHEBI:17967
28,88.98076048112065,594.7706170149148,-0.0007946811206664961,C3H3ClO,-H(-),Chloroallyl aldehyde,HMDB0060458; HMDB0060516; HMDB60458; HMDB60516,,; CHEBI:80465
29,89.02431689423594,373018.41557886644,0.00010040576405856427,C3H6O3,-H(-),Lactate,HMDB0000190; HMDB0000700; HMDB0001051; HMDB0001311; HMDB0001882; HMDB00171; HMDB00190; HMDB0029580; HMDB0031232; HMDB0041929; HMDB0062492; HMDB00700; HMDB01051; HMDB01311; HMDB0144295; HMDB01882; HMDB03328; HMDB29580; HMDB31232; HMDB41929; HMDB62492,C00184; C00186; C00256; C01013; C02154,; CHEBI:132098; CHEBI:16016; CHEBI:33404; CHEBI:341; CHEBI:36596; CHEBI:422; CHEBI:50849; CHEBI:5445
