ionIdx,ionMz,ionAverageInt,Top annotation formula,Top annotation ion
1,57.034094991128626,11188.862364777933,C3H6O,-H(-)
2,59.01338175712169,49562.44032970897,C2H4O2,-H(-)
3,66.0347182776777,556.89955430811,C4H5N,-H(-)
4,67.01862969049921,900.9684220120581,C4H4O,-H(-)
5,67.02992156125384,2241.8235187665077,C3H4N2,-H(-)
6,68.05029093851849,639.4543723336312,C4H7N,-H(-)
7,69.03445763670263,2302.6662849498707,C4H6O,-H(-)
8,70.02961094596886,14816.188970307698,C3H5NO,-H(-)
9,71.01368501716642,13239.414978319122,C3H4O2,-H(-)
10,72.9930038943789,969.88020474303,C2H2O3,-H(-)
11,73.02924648102228,9998.793276582845,C3H6O2,-H(-)
12,74.02460660151048,19831.36302663414,C2H5NO2,-H(-)
13,75.00857609862585,1849.3610396845538,C2H4O3,-H(-)
14,75.02796626689911,510.58589462356923,C3H8S,-H(-)
15,76.97912329422742,4895.992819592864,C2H3ClO,-H(-)
16,77.03946730500486,1276.2712096449382,C6H6,-H(-)
17,79.95731632766194,10368.926555283297,HO3S,-H(-)
18,81.03445529902439,1110.7317025398852,C5H6O,-H(-)
19,81.04580615471771,553.048714040273,C4H6N2,-H(-)
20,83.01263717434911,2467.919949172743,C4H4O2,-H(-)
21,83.05027606316246,2805.5273193926173,C5H8O,-H(-)
22,84.04541281091942,1318.3258921498134,C4H7NO,-H(-)
23,85.02947892739986,12010.871324762506,C4H6O2,-H(-)
24,86.0248005110103,3043.4745491593785,C3H5NO2,-H(-)
25,87.04517121825556,5968.946867015213,C4H8O2,-H(-)
26,87.05628345211811,1616.2788209561636,C3H8N2O,-H(-)
27,88.04049792370753,76284.45294946402,C3H7NO2,-H(-)
28,88.98076048112065,594.7706170149148,C3H3ClO,-H(-)
29,89.02431689423594,373018.41557886644,C3H6O3,-H(-)
30,90.01886925142983,3076.9235027623404,C2H5NO3,-H(-)
31,91.05519144319011,4656.151114492232,C7H8,-H(-)
32,92.05059062635468,2776.423481823526,C6H7N,-H(-)
33,93.04586279582479,68464.72051014542,C5H6N2,-H(-)
