ionIdx,ionMz,feature_col_name
1,57.0341,1
2,59.0134,2
3,66.0347,3
4,67.0186,4
5,67.0299,5
6,68.0503,6
7,69.0345,7
8,70.0296,8
9,71.0137,9
10,72.993,10
11,73.0292,11
12,74.0246,12
13,75.0086,13
14,75.028,14
15,76.9791,15
16,77.0395,16
17,79.9573,17
18,81.0345,18
19,81.0458,19
20,83.0126,20
21,83.0503,21
22,84.0454,22
23,85.0295,23
24,86.0248,24
25,87.0452,25
26,87.0563,26
27,88.0405,27
28,88.9808,28
29,89.0243,29
30,90.0189,30
31,91.0552,31
32,92.0506,32
33,93.0459,33
34,94.0298,34
35,94.9807,35
36,95.014,36
37,95.0503,37
38,96.0455,38
39,96.9693,39
40,97.0288,40
41,97.0658,41
42,98.0249,42
43,98.0614,43
44,99.0088,44
45,99.0453,45
46,99.0814,46
47,100.0227,47
48,100.0405,48
49,101.0245,49
50,101.0609,50
51,102.0382,51
52,102.0561,52
53,103.0223,53
54,103.0401,54
55,104.0354,55
56,105.0194,56
57,105.0378,57
58,105.055,58
59,105.0709,59
60,107.0501,60
61,108.0455,61
62,109.0295,62
63,109.0407,63
64,109.0658,64
65,110.0361,65
66,110.0723,66
67,111.0088,67
68,111.0201,68
69,111.0819,69
70,112.0235,70
71,112.0517,71
72,113.0063,72
73,113.0247,73
74,113.0358,74
75,113.0595,75
76,113.0981,76
77,114.056,77
78,114.9678,78
79,115.0037,79
80,115.0402,80
81,115.0596,81
82,116.0509,82
83,116.0718,83
84,117.0193,84
85,117.0751,85
86,118.0509,86
87,119.0354,87
88,119.0509,88
89,120.0123,89
90,120.9961,90
91,121.0158,91
92,121.0323,92
93,121.0405,93
94,121.0661,94
95,122.0249,95
96,124.0076,96
97,124.0171,97
98,124.0523,98
99,124.0771,99
100,124.9914,100
101,125.0358,101
102,126.039,102
103,126.0924,103
104,126.9052,104
105,127.0219,105
106,127.0406,106
107,127.0513,107
108,127.1135,108
109,128.0355,109
110,129.0197,110
111,129.0385,111
112,129.0555,112
113,129.092,113
114,129.1027,114
115,130.0148,115
116,130.052,116
117,130.0876,117
118,131.0463,118
119,131.0829,119
120,131.0901,120
121,132.0303,121
122,133.0155,122
123,133.0337,123
124,133.052,124
125,133.0655,125
126,133.1027,126
127,134.027,127
128,134.0474,128
129,135.0301,129
130,135.0678,130
131,135.0808,131
132,136.0762,132
133,137.0355,133
134,138.0675,134
135,138.9677,135
136,138.9707,136
137,138.9787,137
138,139.0757,138
139,139.1129,139
140,140.0717,140
141,140.9868,141
142,141.0904,142
143,142.0331,143
144,142.0665,144
145,142.99,145
146,142.9985,146
147,143.0351,147
148,143.0491,148
149,143.0577,149
150,143.0819,150
151,143.1078,151
152,144.0307,152
153,144.0455,153
154,144.0667,154
155,144.0801,155
156,144.103,156
157,145.0143,157
158,145.0302,158
159,145.0618,159
160,145.0983,160
161,146.0459,161
162,147.0123,162
163,147.03,163
164,147.0661,164
165,147.0928,165
166,148.0439,166
167,148.9907,167
168,149.0089,168
169,149.0368,169
170,149.0471,170
171,149.0606,171
172,149.0968,172
173,150.0021,173
174,150.0422,174
175,150.9882,175
176,151.0261,176
177,151.0754,177
178,151.9846,178
179,152.0009,179
180,152.0358,180
181,152.0703,181
182,152.0831,182
183,153.019,183
184,153.0557,184
185,153.0918,185
186,154.0272,186
187,154.0621,187
188,154.9849,188
189,154.9996,189
190,155.036,190
191,155.0708,191
192,155.1432,192
193,155.9892,193
194,156.0669,194
195,157.0132,195
196,157.0238,196
197,157.0504,197
198,157.0637,198
199,157.0871,199
200,157.1232,200
201,158.082,201
202,158.1183,202
203,159.0303,203
204,159.0656,204
205,159.0927,205
206,159.1025,206
207,159.1138,207
208,159.1281,208
209,160.0265,209
210,160.0401,210
211,160.0612,211
212,160.1006,212
213,161.0109,213
214,161.0248,214
215,161.0393,215
216,161.0455,216
217,162.0226,217
218,162.0422,218
219,162.056,219
220,163.0255,220
221,163.0399,221
222,163.0505,222
223,163.0612,223
224,163.0965,224
225,164.0178,225
226,164.0393,226
227,164.0719,227
228,165.0193,228
229,165.0417,229
230,165.0557,230
231,165.0749,231
232,165.1641,232
233,165.98,233
234,166.0304,234
235,166.0498,235
236,166.0882,236
237,167.0211,237
238,167.1441,238
239,167.9962,239
240,168.043,240
241,168.0774,241
242,169.0656,242
243,169.0975,243
244,169.1232,244
245,170.0572,245
246,171.0065,246
247,171.0399,247
248,171.0662,248
249,171.0823,249
250,171.1027,250
251,171.139,251
252,172.041,252
253,172.0609,253
254,172.9912,254
255,173.009,255
256,173.0257,256
257,173.0447,257
258,173.0569,258
259,173.0825,259
260,173.1043,260
261,174.0058,261
262,174.0404,262
263,174.0561,263
264,174.0774,264
265,174.0882,265
266,175.0248,266
267,175.0605,267
268,175.0765,268
269,175.0878,269
270,176.0842,270
271,176.0929,271
272,176.988,272
273,177.0224,273
274,177.0554,274
275,177.0765,275
276,177.0919,276
