ionIdx,ionMz,ionAverageInt,mz delta,formula,ion,label (bona fide),HMDB ids,KEGG ids,other ids
1,57.034648014787976,6709.0504422390895,-5.9914787975401396e-05,C3H6O,-H(-),Acetone,HMDB0001659; HMDB0003366; HMDB0031652; HMDB01659; HMDB03366; HMDB31652,C00207; C00479; C02001,CHEBI:15347; CHEBI:16605; CHEBI:17153
2,58.02921900643324,874.2704810633066,0.0006180935667572385,C2H5NO,-H(-),Acetamide,HMDB0001122; HMDB0003656; HMDB0031645; HMDB01122; HMDB03656; HMDB31645,C02658; C06244; C11489,CHEBI:27856; CHEBI:50718; CHEBI:7438
3,59.0138266720542,66285.26935341077,2.6027945800422003e-05,C2H4O2,-H(-),Acetatic acid,HMDB0000042; HMDB0003344; HMDB00042; HMDB02165; HMDB03344,C00033; C00266,CHEBI:15366; CHEBI:17071
4,60.044607411044346,506.75824851738463,0.0008796889556492715,C2H7NO,-H(-),Ethanolamine,HMDB0000149; HMDB00149,C00189,CHEBI:16000
5,67.03046027069219,3177.226338123462,-0.00028877069219390705,C3H4N2,-H(-),Imidazole,HMDB0001525; HMDB01525,C01589,CHEBI:16069
6,68.05085926593227,906.7443061598616,-0.0002867659322731697,C4H7N,-H(-),1-Pyrrolinium,HMDB0060246; HMDB60246,,
7,70.03011843697008,3558.0004391567936,-0.00028133697009025127,C3H5NO,-H(-),Acrylamide,HMDB0004296; HMDB04296,C01659,CHEBI:28619
8,71.01413793819334,12936.507728150516,-0.0002852381933422521,C3H4O2,-H(-),Propenoic acid C3:1,HMDB0001167; HMDB0006112; HMDB0031647; HMDB01167; HMDB06112; HMDB31647,C00511; C00546; C19440,CHEBI:17158; CHEBI:18308; CHEBI:566274
9,71.05041712379061,1326.8349663488113,-0.00017902379060785734,C4H8O,-H(-),Butanal,HMDB0000246; HMDB0000474; HMDB0003543; HMDB00246; HMDB0031243; HMDB0031324; HMDB0034431; HMDB00474; HMDB03543; HMDB31243; HMDB31324; HMDB34431,C01412; C02845; C03219,; CHEBI:15743; CHEBI:26911; CHEBI:28398; CHEBI:48943
10,72.9934238175293,831.1395466620412,-0.0003065175293102129,C2H2O3,-H(-),Glyoxylic acid,HMDB0000119; HMDB00119,C00048,CHEBI:16891
10,72.9934238175293,831.1395466620412,-0.00036656655274214245,C2H3NS,-H(-) [+1],Methyl isothiocyanate,HMDB0034106; HMDB34106,C18587,CHEBI:78337
11,73.01224613444795,1610.0034679786713,-0.0005019344479535448,C3H6S,-H(-),2-Propene-1-thiol,HMDB0031635; HMDB31635,,
12,73.02980668976736,5661.942181636659,-0.0003039897673602354,C3H6O2,-H(-),C3:0 (Propionic acid),HMDB0000237; HMDB0003052; HMDB0003453; HMDB0006458; HMDB00237; HMDB0031523; HMDB03052; HMDB03453; HMDB06458; HMDB06949; HMDB31523,C00163; C00424; C00937; C00969; C17530,; CHEBI:17167; CHEBI:17871; CHEBI:18041; CHEBI:30768
13,73.04018846238793,1813.797385186475,0.0005476376120583382,C2H6N2O,-H(-),Acetylhydrazine,HMDB0031419; HMDB0060428; HMDB0062472; HMDB31419; HMDB60428; HMDB62472,C07447; C14704,; CHEBI:2422; CHEBI:35807; CHEBI:42843
14,74.02516213232437,27633.885842407704,-0.0004104323243723229,C2H5NO2,-H(-),Glycine,HMDB0000123; HMDB00123; HMDB0014691; HMDB0031239; HMDB14691; HMDB31239,C00037; C06808,; CHEBI:15428; CHEBI:27777
15,75.00923826917627,1796.5634635515057,-0.0004709691762627699,C2H4O3,-H(-),Glycolate,HMDB0000115; HMDB00115; HMDB0031608; HMDB03035; HMDB31608,C00160,; CHEBI:17497
16,77.03991495439845,1537.9200279305383,-0.0002414543984627926,C6H6,-H(-),Benzene,HMDB0001505; HMDB01505,C01407,CHEBI:16716
16,77.03991495439845,1537.9200279305383,0.000901345601548087,C3H6O,.F(-),Acetone,HMDB0001659; HMDB0003366; HMDB0031652; HMDB01659; HMDB03366; HMDB31652,C00207; C00479; C02001,CHEBI:15347; CHEBI:16605; CHEBI:17153
17,79.9577296511259,15169.61026554334,-0.00036665112591549587,HO3S,-H(-),Hydrogen sulfite,HMDB0001033; HMDB01033; HMDB03008,C11481,CHEBI:17137
18,80.96292836929089,13368.641528690807,-0.0006239692908991401,ClHNO2,-H(-),nitryl chloride,HMDB0062505; HMDB62505,,
19,81.04604915692914,598.0050336739905,-0.0002276569291410624,C4H6N2,-H(-),Fomepizole,HMDB0015344; HMDB15344,C07837,CHEBI:5141
20,83.05064905750149,1938.5777046157812,-0.00041095750148656407,C5H8O,-H(-),Methyl propenyl ketone,HMDB0001184; HMDB0012157; HMDB0031407; HMDB0031512; HMDB0031530; HMDB0031601; HMDB0031606; HMDB0031607; HMDB0032458; HMDB0037788; HMDB0040584; HMDB01184; HMDB12157; HMDB31407; HMDB31512; HMDB31530; HMDB31601; HMDB31606; HMDB31607; HMDB32458; HMDB37788; HMDB40584,C00557; C07330,; CHEBI:15825; CHEBI:16486; CHEBI:51678; CHEBI:51679; CHEBI:87508; CHEBI:88419
21,84.04585835139402,1125.2162152798855,-0.00037125139401439355,C4H7NO,-H(-),Acetone cyanohydrin,HMDB0002039; HMDB0060427; HMDB02039; HMDB60427,C11118,; CHEBI:15348; CHEBI:36592
22,84.08213925329409,346.0456789403909,-0.00026675329409897586,C5H11N,-H(-),Piperidine,HMDB0034301; HMDB34301,C01746,CHEBI:18049
23,85.02977992540569,11545.640843034516,-0.00027722540569641296,C4H6O2,-H(-),Succinic aldehyde,HMDB0000549; HMDB0002523; HMDB0003407; HMDB0010720; HMDB0031209; HMDB0033977; HMDB0034439; HMDB00549; HMDB02523; HMDB03407; HMDB10720; HMDB31209; HMDB33977; HMDB34439,C00741; C01770; C01771; C19309; C19443,; CHEBI:16583; CHEBI:36253; CHEBI:41131; CHEBI:42639; CHEBI:46916
24,86.02509704347199,1274.2113331045564,-0.0003453434719915549,C3H5NO2,-H(-),Dehydroalanine,HMDB0003609; HMDB0039426; HMDB03609; HMDB06356; HMDB39426,C02218,; CHEBI:17123
25,87.00889180404114,5814.706565354989,-0.00012450404113906188,C3H4O3,-H(-),Pyruvate,HMDB0000243; HMDB0011111; HMDB00243; HMDB0040261; HMDB0062676; HMDB11111; HMDB11666; HMDB40261; HMDB62676,C00022; C00222,; CHEBI:17960; CHEBI:32816; CHEBI:86354
26,88.04077642819928,13467.345405674538,-0.0003747281992900753,C3H7NO2,-H(-),Alanine,HMDB0000056; HMDB0000161; HMDB0000271; HMDB0001310; HMDB00056; HMDB00161; HMDB00271; HMDB0031219; HMDB0062251; HMDB01310; HMDB31219; HMDB62251,C00041; C00099; C00133; C00213; C01401; C01537,CHEBI:15570; CHEBI:15611; CHEBI:16449; CHEBI:16958; CHEBI:16977; CHEBI:17967
27,89.0246891024432,43881.17518948564,-0.0002718024432084576,C3H6O3,-H(-),Lactate,HMDB0000190; HMDB0000700; HMDB0001051; HMDB0001311; HMDB0001882; HMDB00171; HMDB00190; HMDB0029580; HMDB0031232; HMDB0041929; HMDB0062492; HMDB00700; HMDB01051; HMDB01311; HMDB0144295; HMDB01882; HMDB03328; HMDB29580; HMDB31232; HMDB41929; HMDB62492,C00184; C00186; C00256; C01013; C02154,; CHEBI:132098; CHEBI:16016; CHEBI:33404; CHEBI:341; CHEBI:36596; CHEBI:422; CHEBI:50849; CHEBI:5445
28,89.04312887879684,3740.8495065471307,-8.467879683848878e-05,C4H10S,-H(-),2-Methyl-1-propanethiol,HMDB0031245; HMDB0031322; HMDB0031666; HMDB0040576; HMDB0061871; HMDB31245; HMDB31322; HMDB31666; HMDB40576; HMDB61871,C02272,; CHEBI:27710
29,90.0192248256177,1389.1235707843546,0.00044147438229913405,C2H5NO3,-H(-),(hydroxymethyl)carbamic acid,HMDB0143414,,
30,91.05575317378613,6209.306059088199,-0.00042967378612956963,C7H8,-H(-),Toluene,HMDB0034168; HMDB34168,C01455,CHEBI:17578
30,91.05575317378613,6209.306059088199,0.0007131262138813099,C4H8O,.F(-),Butanal,HMDB0000246; HMDB0000474; HMDB0003543; HMDB00246; HMDB0031243; HMDB0031324; HMDB0034431; HMDB00474; HMDB03543; HMDB31243; HMDB31324; HMDB34431,C01412; C02845; C03219,; CHEBI:15743; CHEBI:26911; CHEBI:28398; CHEBI:48943
31,92.05081061287638,1522.7964308528465,-0.00023811287637443002,C6H7N,-H(-),Aniline,HMDB0003012; HMDB0061887; HMDB0061888; HMDB03012; HMDB61887; HMDB61888,C00292; C14447,; CHEBI:17296; CHEBI:39922; CHEBI:50415
31,92.05081061287638,1522.7964308528465,0.0009046871236080278,C3H7NO,.F(-),Aminoacetone,HMDB0001106; HMDB0001888; HMDB0002134; HMDB01106; HMDB0142435; HMDB01888; HMDB02134; HMDB60177,C01888; C03134; C05665,; CHEBI:17741; CHEBI:17906; CHEBI:18090
32,93.04618739776606,42188.34564152301,-0.00036589776607343083,C5H6N2,-H(-),Methylpyrazine,HMDB0033112; HMDB33112,,
32,93.04618739776606,42188.34564152301,0.0007769022339232379,C2H6N2O,.F(-),Acetylhydrazine,HMDB0031419; HMDB0060428; HMDB0062472; HMDB31419; HMDB60428; HMDB62472,C07447; C14704,; CHEBI:2422; CHEBI:35807; CHEBI:42843
33,94.03025677434272,7464.232824118115,-0.00041967434272294213,C5H5NO,-H(-),Hydroxypyridine,HMDB0013751; HMDB0036057; HMDB13751; HMDB36057,C02502,; CHEBI:16540; CHEBI:59978
33,94.03025677434272,7464.232824118115,0.0007231256572879374,C2H5NO2,.F(-),Glycine,HMDB0000123; HMDB00123; HMDB0014691; HMDB0031239; HMDB14691; HMDB31239,C00037; C06808,; CHEBI:15428; CHEBI:27777
34,94.98107404330744,257086.61174165463,-0.0004656433074501365,H4O4Si,-H(-),Silicic acid,HMDB0031436; HMDB31436,,; CHEBI:26675
35,95.0140795027006,10290.34162877131,-0.00022680270059538543,C5H4O2,-H(-),Furfural,HMDB0032914; HMDB0060503; HMDB32914; HMDB60503,C14279,; CHEBI:28906
35,95.0140795027006,10290.34162877131,0.0009159972994012833,C2H4O3,.F(-),Glycolate,HMDB0000115; HMDB00115; HMDB0031608; HMDB03035; HMDB31608,C00160,; CHEBI:17497
36,95.05068480335993,2939.1187204295748,-0.00044670335992691435,C6H8O,-H(-),Cyclohexenone,HMDB0031545; HMDB0031546; HMDB0032965; HMDB0033182; HMDB0034729; HMDB0040587; HMDB0040588; HMDB31545; HMDB31546; HMDB32965; HMDB33182; HMDB34729; HMDB40587; HMDB40588,,
36,95.05068480335993,2939.1187204295748,0.0006960966400697544,C3H8O2,.F(-),Propanediol,HMDB0001881; HMDB0006213; HMDB01881; HMDB06213,C00583; C02917,CHEBI:16997; CHEBI:29002
37,96.96948679736562,421409.55655070744,0.00013160263436873265,H3O4P,-H(-),Phosphoric acid,HMDB0002142; HMDB02142,C00009,CHEBI:26078
38,98.02512893676156,5404.152116818424,-0.00037723676156531383,C4H5NO2,-H(-),Succinimide,HMDB0030276; HMDB30276,,
