sample_col_name,INDEX,FILE_NAME,FILE_CODE,SAMPLE_NAME,LABEL,SEQUENCE,sample_type,batch_id,group_label
001 / burnin,1,20200124_Harm2_4GHz_0001.d,20200318225826268-2486779,burnin1,burnin,P001:001 seq1 control,burnin,Batch3_0124 DATA,burnin
002 / burnin,2,20200124_Harm2_4GHz_0002.d,20200318225827449-2486780,burnin2,burnin,P001:002 seq1 control,burnin,Batch3_0124 DATA,burnin
003 / burnin,3,20200124_Harm2_4GHz_0003.d,20200318225828544-2486781,burnin3,burnin,P001:003 seq1 control,burnin,Batch3_0124 DATA,burnin
004 / burnin,4,20200124_Harm2_4GHz_0004.d,20200318225829604-2486782,burnin4,burnin,P001:004 seq1 control,burnin,Batch3_0124 DATA,burnin
005 / burnin,5,20200124_Harm2_4GHz_0005.d,20200318225830629-2486783,burnin5,burnin,P001:005 seq1 control,burnin,Batch3_0124 DATA,burnin
006 / water,6,20200124_Harm2_4GHz_0006.d,20200318225831689-2486784,ctrl_p01_c1,water,P001:006 seq1 control,water,Batch3_0124 DATA,water
007 / water,7,20200124_Harm2_4GHz_0007.d,20200318225832764-2486785,ctrl_p01_c2,water,P001:007 seq1 control,water,Batch3_0124 DATA,water
008 / P1_FA_0008,8,20200124_Harm2_4GHz_0008.d,20200318225833781-2486786,20200124_Plate1_052,P1_FA_0008,P001:008 seq1,formal_or_unknown,Batch3_0124 DATA,P1_FA_0008
009 / P1_FA_0008,9,20200124_Harm2_4GHz_0009.d,20200318225834851-2486787,20200124_Plate1_052,P1_FA_0008,P001:009 seq1,formal_or_unknown,Batch3_0124 DATA,P1_FA_0008
010 / P1_FA_0008,10,20200124_Harm2_4GHz_0010.d,20200318225835911-2486788,20200124_Plate1_052,P1_FA_0008,P001:010 seq1,formal_or_unknown,Batch3_0124 DATA,P1_FA_0008
011 / water,11,20200124_Harm2_4GHz_0011.d,20200318225836873-2486789,ctrl_p01_c1,water,P001:011 seq1 control,water,Batch3_0124 DATA,water
012 / water,12,20200124_Harm2_4GHz_0012.d,20200318225837929-2486790,ctrl_p01_c2,water,P001:012 seq1 control,water,Batch3_0124 DATA,water
013 / P1_Bio_0002,13,20200124_Harm2_4GHz_0013.d,20200318225838982-2486791,20200124_Plate1_026,P1_Bio_0002,P001:013 seq1,formal_or_unknown,Batch3_0124 DATA,P1_Bio_0002
014 / P1_Bio_0002,14,20200124_Harm2_4GHz_0014.d,20200318225840318-2486792,20200124_Plate1_026,P1_Bio_0002,P001:014 seq1,formal_or_unknown,Batch3_0124 DATA,P1_Bio_0002
015 / P1_Bio_0002,15,20200124_Harm2_4GHz_0015.d,20200318225841735-2486793,20200124_Plate1_026,P1_Bio_0002,P001:015 seq1,formal_or_unknown,Batch3_0124 DATA,P1_Bio_0002
016 / water,16,20200124_Harm2_4GHz_0016.d,20200318225843038-2486794,ctrl_p01_c1,water,P001:016 seq1 control,water,Batch3_0124 DATA,water
017 / water,17,20200124_Harm2_4GHz_0017.d,20200318225844235-2486795,ctrl_p01_c2,water,P001:017 seq1 control,water,Batch3_0124 DATA,water
018 / P1_AA_0002,18,20200124_Harm2_4GHz_0018.d,20200318225845305-2486796,20200124_Plate1_038,P1_AA_0002,P001:018 seq1,formal_or_unknown,Batch3_0124 DATA,P1_AA_0002
019 / P1_AA_0002,19,20200124_Harm2_4GHz_0019.d,20200318225846400-2486797,20200124_Plate1_038,P1_AA_0002,P001:019 seq1,formal_or_unknown,Batch3_0124 DATA,P1_AA_0002
020 / P1_AA_0002,20,20200124_Harm2_4GHz_0020.d,20200318225847511-2486798,20200124_Plate1_038,P1_AA_0002,P001:020 seq1,formal_or_unknown,Batch3_0124 DATA,P1_AA_0002
021 / water,21,20200124_Harm2_4GHz_0021.d,20200318225848705-2486799,ctrl_p01_c1,water,P001:021 seq1 control,water,Batch3_0124 DATA,water
022 / water,22,20200124_Harm2_4GHz_0022.d,20200318225849839-2486800,ctrl_p01_c2,water,P001:022 seq1 control,water,Batch3_0124 DATA,water
023 / P1_FA_0016,23,20200124_Harm2_4GHz_0023.d,20200318225850984-2486801,20200124_Plate1_053,P1_FA_0016,P001:023 seq1,formal_or_unknown,Batch3_0124 DATA,P1_FA_0016
