ionIdx,ionMz,ionAverageInt,Top annotation formula,Top annotation ion
1,57.034648014787976,6709.0504422390895,C3H6O,-H(-)
2,58.02921900643324,874.2704810633066,C2H5NO,-H(-)
3,59.0138266720542,66285.26935341077,C2H4O2,-H(-)
4,60.044607411044346,506.75824851738463,C2H7NO,-H(-)
5,67.03046027069219,3177.226338123462,C3H4N2,-H(-)
6,68.05085926593227,906.7443061598616,C4H7N,-H(-)
7,70.03011843697008,3558.0004391567936,C3H5NO,-H(-)
8,71.01413793819334,12936.507728150516,C3H4O2,-H(-)
9,71.05041712379061,1326.8349663488113,C4H8O,-H(-)
10,72.9934238175293,831.1395466620412,C2H2O3,-H(-)
11,73.01224613444795,1610.0034679786713,C3H6S,-H(-)
12,73.02980668976736,5661.942181636659,C3H6O2,-H(-)
13,73.04018846238793,1813.797385186475,C2H6N2O,-H(-)
14,74.02516213232437,27633.885842407704,C2H5NO2,-H(-)
15,75.00923826917627,1796.5634635515057,C2H4O3,-H(-)
16,77.03991495439845,1537.9200279305383,C6H6,-H(-)
17,79.9577296511259,15169.61026554334,HO3S,-H(-)
18,80.96292836929089,13368.641528690807,ClHNO2,-H(-)
19,81.04604915692914,598.0050336739905,C4H6N2,-H(-)
20,83.05064905750149,1938.5777046157812,C5H8O,-H(-)
21,84.04585835139402,1125.2162152798855,C4H7NO,-H(-)
22,84.08213925329409,346.0456789403909,C5H11N,-H(-)
23,85.02977992540569,11545.640843034516,C4H6O2,-H(-)
24,86.02509704347199,1274.2113331045564,C3H5NO2,-H(-)
25,87.00889180404114,5814.706565354989,C3H4O3,-H(-)
26,88.04077642819928,13467.345405674538,C3H7NO2,-H(-)
27,89.0246891024432,43881.17518948564,C3H6O3,-H(-)
28,89.04312887879684,3740.8495065471307,C4H10S,-H(-)
29,90.0192248256177,1389.1235707843546,C2H5NO3,-H(-)
30,91.05575317378613,6209.306059088199,C7H8,-H(-)
31,92.05081061287638,1522.7964308528465,C6H7N,-H(-)
32,93.04618739776606,42188.34564152301,C5H6N2,-H(-)
33,94.03025677434272,7464.232824118115,C5H5NO,-H(-)
34,94.98107404330744,257086.61174165463,H4O4Si,-H(-)
35,95.0140795027006,10290.34162877131,C5H4O2,-H(-)
36,95.05068480335993,2939.1187204295748,C6H8O,-H(-)
37,96.96948679736562,421409.55655070744,H3O4P,-H(-)
38,98.02512893676156,5404.152116818424,C4H5NO2,-H(-)
39,99.04534562563428,18621.869208106185,C5H8O2,-H(-)
40,100.02276923760385,3350.4117142123146,C4H7NS,-H(-)
41,100.04074468706595,6050.129458148978,C4H7NO2,-H(-)
42,101.02482576824774,27629.72878159017,C4H6O3,-H(-)
