merged_sample_id,"11,12-EET",12(13)-DiHOME,"12,13-EpOME",12-HETE,13(S)-HODE,14(15)-EpETE,"14,15-EET",20-HETE,"5,6-EET",6keto-PGF1,9-HODE,LTB4,LXA4,RvD1
mi::0,15.964944588014257,12.526005282528107,16.503358119776173,14.173185701536545,15.954399676073152,19.312678787355836,14.70340222683928,15.752812476575196,15.303910367754929,13.523800383592055,15.53827733427679,16.959662879739987,16.24031337217814,14.920767720476825
mi::1,17.172407715573055,14.917450968950916,16.892822864593636,15.039286283703994,16.503358119776173,19.204582292346984,15.41084974885861,16.128046080821385,15.248211530561775,14.085538458535822,16.530205368010318,16.86951178681205,16.128046080821385,16.107034804711123
mi::2,16.90199724044883,13.080847392128186,17.04235459216419,15.1764873675101,15.588766725407044,19.48539148439307,14.386490669521605,16.60667572712668,15.90737474309945,13.815511557963774,16.067854539674038,16.993564429978885,16.51687183802978,15.973069994514992
mi::3,17.168917310755116,12.880918371470203,15.868351546216628,14.220976332738882,15.84759853432223,19.30857200542005,15.501909696719672,16.906553056777135,15.392425485304363,13.646265529481033,16.536806051605975,16.468752592994022,16.29204904211537,15.748480340461642
mi::4,16.52356082573315,12.048746094625518,15.554220981849422,13.955273369904273,15.876024217147116,18.927498352344912,13.997832948091215,16.380459992348886,14.630875813726249,14.130322027731047,15.392425485304363,16.283610174181653,16.51687183802978,15.209277182061792
mi::5,17.081270006899263,13.757447028748606,16.410765339548004,14.30409118627969,15.687312888712007,18.430631084706523,14.953343880298434,15.829079489004744,15.874749519877604,13.864301674514206,16.02488337900562,14.55267510240978,15.713130567816831,15.67336998490308
mi::6,16.929025911619092,12.854868172144611,16.60667572712668,14.180154365996389,16.185754392890075,18.99166029618782,14.69513772040451,15.662389484142103,14.562198979385784,13.767379626453236,16.29204904211537,14.81614280591917,16.349207451286784,15.562969942511762
mi::7,17.168917310755116,14.014362236381237,16.61887099947687,14.630875813726249,16.035800516809118,18.497641794347754,15.936573894239,15.64006001130563,15.10198486004501,13.669477342196783,15.747032114495012,17.122397296785223,16.308716093211594,16.447399470043365
mi::8,16.069955380562174,13.349903648962892,16.283610174181653,14.682611465815636,16.24031337217814,18.418678751301737,15.221607791478354,14.699278511355924,14.180154365996389,13.505911384291126,15.531108846082864,16.388122864507256,15.520258832020865,15.392425485304363
mi::9,17.11872756803093,13.199659547563638,17.5192786492025,14.547878932446617,16.213405921671733,18.440483381052463,14.528460856016356,14.47303107901565,16.266515742283485,13.696392506570808,16.231424425551033,17.665658180950928,15.257712787429051,16.031447953283894
